id,type,itunes_product_id,googleplay_product_id,dev_itunes_product_id,dev_googleplay_product_id,title,gift_description,banner_image_path,price,start_at,end_at,display_counter,purchasing_count_max,reset_type,reset_interval,reset_time,display_when_sold_out,unlock_instruction,display_when_locked,extend_interval_reset_hours,geoip_limited,is_paid_stone,show_probability
3103,SpecialPackageProduct,bngi0221_special_shop_product_fake_3103,bngi0221_special_shop_product_fake_3103,,,Hidden Potential Activation Pack (INT),Hidden Potential Activation Pack (INT),banners/en/dummy_image/dummy_image.png,2200,2017-11-03 00:00:00,2017-12-29 23:59:59,0,1,,7.0,0.0,1,,0,,0,1,1
3104,SpecialPackageProduct,bngi0221_special_shop_product_fake_3104,bngi0221_special_shop_product_fake_3104,,,Hidden Potential Activation Pack (STR),Hidden Potential Activation Pack (STR),banners/en/dummy_image/dummy_image.png,2200,2017-11-03 00:00:00,2017-12-29 23:59:59,0,1,,7.0,0.0,1,,0,,0,1,1
3105,SpecialPackageProduct,bngi0221_special_shop_product_fake_3105,bngi0221_special_shop_product_fake_3105,,,Hidden Potential Activation Pack (PHY),Hidden Potential Activation Pack (PHY),banners/en/dummy_image/dummy_image.png,2200,2017-11-03 00:00:00,2017-12-29 23:59:59,0,1,,7.0,0.0,1,,0,,0,1,1
3201,SpecialPackageProduct,bngi0221_special_shop_product_fake_3201,bngi0221_special_shop_product_fake_3201,,,Hidden Potential Activation Pack (AGL),Hidden Potential Activation Pack (AGL),banners/en/dummy_image/dummy_image.png,2200,2018-01-04 00:00:00,2018-06-20 05:59:59,0,1,,7.0,0.0,1,,0,,0,1,1
3202,SpecialPackageProduct,bngi0221_special_shop_product_fake_3202,bngi0221_special_shop_product_fake_3202,,,Hidden Potential Activation Pack (TEQ),Hidden Potential Activation Pack (TEQ),banners/en/dummy_image/dummy_image.png,2200,2018-01-04 00:00:00,2018-06-20 05:59:59,0,1,,7.0,0.0,1,,0,,0,1,1
3203,SpecialPackageProduct,bngi0221_special_shop_product_fake_3203,bngi0221_special_shop_product_fake_3203,,,Hidden Potential Activation Pack (INT),Hidden Potential Activation Pack (INT),banners/en/dummy_image/dummy_image.png,2200,2018-01-04 00:00:00,2018-06-20 05:59:59,0,1,,7.0,0.0,1,,0,,0,1,1
3204,SpecialPackageProduct,bngi0221_special_shop_product_fake_3204,bngi0221_special_shop_product_fake_3204,,,Hidden Potential Activation Pack (STR),Hidden Potential Activation Pack (STR),banners/en/dummy_image/dummy_image.png,2200,2018-01-04 00:00:00,2018-06-20 05:59:59,0,1,,7.0,0.0,1,,0,,0,1,1
3205,SpecialPackageProduct,bngi0221_special_shop_product_fake_3205,bngi0221_special_shop_product_fake_3205,,,Hidden Potential Activation Pack (PHY),Hidden Potential Activation Pack (PHY),banners/en/dummy_image/dummy_image.png,2200,2018-01-04 00:00:00,2018-06-20 05:59:59,0,1,,7.0,0.0,1,,0,,0,1,1
3301,SpecialPackageProduct,bngi0221_special_shop_product_2_1,bngi0221_special_shop_product_2_1,,,Hidden Potential Activation Pack (AGL),Hidden Potential Activation Pack (AGL),banners/en/special_shop/spshop_icon_003301.png,2440,2018-10-05 16:00:00,2038-01-01 00:00:00,0,1,day,7.0,0.0,1,,0,,0,1,1
3302,SpecialPackageProduct,bngi0221_special_shop_product_2_2,bngi0221_special_shop_product_2_2,,,Hidden Potential Activation Pack (TEQ),Hidden Potential Activation Pack (TEQ),banners/en/special_shop/spshop_icon_003302.png,2440,2018-10-05 16:00:00,2038-01-01 00:00:00,0,1,day,7.0,0.0,1,,0,,0,1,1
3303,SpecialPackageProduct,bngi0221_special_shop_product_2_3,bngi0221_special_shop_product_2_3,,,Hidden Potential Activation Pack (INT),Hidden Potential Activation Pack (INT),banners/en/special_shop/spshop_icon_003303.png,2440,2018-10-05 16:00:00,2038-01-01 00:00:00,0,1,day,7.0,0.0,1,,0,,0,1,1
3304,SpecialPackageProduct,bngi0221_special_shop_product_2_4,bngi0221_special_shop_product_2_4,,,Hidden Potential Activation Pack (STR),Hidden Potential Activation Pack (STR),banners/en/special_shop/spshop_icon_003304.png,2440,2018-10-05 16:00:00,2038-01-01 00:00:00,0,1,day,7.0,0.0,1,,0,,0,1,1
3305,SpecialPackageProduct,bngi0221_special_shop_product_2_5,bngi0221_special_shop_product_2_5,,,Hidden Potential Activation Pack (PHY),Hidden Potential Activation Pack (PHY),banners/en/special_shop/spshop_icon_003305.png,2440,2018-10-05 16:00:00,2038-01-01 00:00:00,0,1,day,7.0,0.0,1,,0,,0,1,1
4101,SpecialPackageProduct,bngi0221_special_shop_product_3,bngi0221_special_shop_product_3,,,Power-Up Pack,Power-Up Pack,banners/en/special_shop/spshop_icon_004101.png,1840,2017-11-03 00:00:00,2021-07-06 23:59:59,0,3,,7.0,0.0,1,,0,,0,1,1
4102,SpecialPackageProduct,bngi0221_special_shop_product_4,bngi0221_special_shop_product_4,,,Mysterious Pack,Mysterious Pack,banners/en/special_shop/spshop_icon_004102.png,3060,2017-11-03 00:00:00,2038-01-01 00:00:00,0,3,day,7.0,0.0,1,,0,,1,1,1
4103,SpecialPackageProduct,bngi0221_special_shop_product_3_2,bngi0221_special_shop_product_3_2,,,Power-Up Pack,Power-Up Pack,banners/en/special_shop/spshop_icon_004101.png,1840,2021-07-07 00:00:00,2038-01-01 00:00:00,0,3,day,7.0,0.0,1,,0,,0,1,1
8001,SpecialPackageProduct,bngi0221_special_shop_product_10_1,bngi0221_special_shop_product_10_1,,,Potential Pack (AGL),Potential Pack (AGL),banners/en/dummy_image/dummy_image.png,2400,2017-12-30 00:00:00,2018-01-03 23:59:59,1,1,,,,1,,0,,1,1,1
8002,SpecialPackageProduct,bngi0221_special_shop_product_10_2,bngi0221_special_shop_product_10_2,,,Potential Pack (TEQ),Potential Pack (TEQ),banners/en/dummy_image/dummy_image.png,2400,2017-12-30 00:00:00,2018-01-03 23:59:59,1,1,,,,1,,0,,1,1,1
8003,SpecialPackageProduct,bngi0221_special_shop_product_10_3,bngi0221_special_shop_product_10_3,,,Potential Pack (INT),Potential Pack (INT),banners/en/dummy_image/dummy_image.png,2400,2017-12-30 00:00:00,2018-01-03 23:59:59,1,1,,,,1,,0,,1,1,1
8004,SpecialPackageProduct,bngi0221_special_shop_product_10_4,bngi0221_special_shop_product_10_4,,,Potential Pack (STR),Potential Pack (STR),banners/en/dummy_image/dummy_image.png,2400,2017-12-30 00:00:00,2018-01-03 23:59:59,1,1,,,,1,,0,,1,1,1
8005,SpecialPackageProduct,bngi0221_special_shop_product_10_5,bngi0221_special_shop_product_10_5,,,Potential Pack (PHY),Potential Pack (PHY),banners/en/dummy_image/dummy_image.png,2400,2017-12-30 00:00:00,2018-01-03 23:59:59,1,1,,,,1,,0,,1,1,1
10002,SpecialPackageProduct,bngi0221_special_shop_product_fake_10002,bngi0221_special_shop_product_fake_10002,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,2760,2018-04-14 06:30:00,2018-04-25 05:59:59,1,3,,,,1,,0,,1,1,1
10003,SpecialPackageProduct,bngi0221_special_shop_product_fake_10003,bngi0221_special_shop_product_fake_10003,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,2760,2018-10-09 06:30:00,2018-10-22 05:59:59,1,3,,,,1,,0,,1,1,1
10004,SpecialPackageProduct,bngi0221_special_shop_product_fake_10004,bngi0221_special_shop_product_fake_10004,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,2760,2018-10-29 06:30:00,2018-11-11 05:59:59,1,3,,,,1,,0,,1,1,1
10005,SpecialPackageProduct,bngi0221_special_shop_product_fake_10005,bngi0221_special_shop_product_fake_10005,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,2760,2018-11-30 06:30:00,2018-12-12 05:59:59,1,3,,,,1,,0,,1,1,1
10006,SpecialPackageProduct,bngi0221_special_shop_product_fake_10006,bngi0221_special_shop_product_fake_10006,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,2760,2018-12-21 06:30:00,2019-01-01 05:59:59,1,3,,,,1,,0,,1,1,1
10007,SpecialPackageProduct,bngi0221_special_shop_product_fake_10007,bngi0221_special_shop_product_fake_10007,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1085,2019-01-23 06:30:00,2019-02-03 05:59:59,1,3,,,,1,,0,,1,1,1
10008,SpecialPackageProduct,bngi0221_special_shop_product_fake_10008,bngi0221_special_shop_product_fake_10008,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,2760,2019-02-26 06:30:00,2019-03-09 05:59:59,1,3,,,,1,,0,,1,1,1
10009,SpecialPackageProduct,bngi0221_special_shop_product_fake_10009,bngi0221_special_shop_product_fake_10009,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,2760,2019-04-10 06:30:00,2019-04-21 05:59:59,1,3,,,,1,,0,,1,1,1
10010,SpecialPackageProduct,bngi0221_special_shop_product_fake_10010,bngi0221_special_shop_product_fake_10010,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,2760,2019-04-30 06:30:00,2019-05-11 05:59:59,1,3,,,,1,,0,,1,1,1
10011,SpecialPackageProduct,bngi0221_special_shop_product_fake_10011,bngi0221_special_shop_product_fake_10011,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,2760,2019-06-14 06:30:00,2019-06-24 05:59:59,1,3,,,,1,,0,,1,1,1
10012,SpecialPackageProduct,bngi0221_special_shop_product_fake_10012,bngi0221_special_shop_product_fake_10012,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,2760,2019-08-19 06:30:00,2019-08-26 05:59:59,1,3,,,,1,,0,,1,1,1
10013,SpecialPackageProduct,bngi0221_special_shop_product_fake_10013,bngi0221_special_shop_product_fake_10013,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,2760,2019-10-14 06:30:00,2019-10-28 05:59:59,1,3,,,,1,,0,,1,1,1
10014,SpecialPackageProduct,bngi0221_special_shop_product_fake_10014,bngi0221_special_shop_product_fake_10014,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1220,2019-10-31 06:30:00,2019-11-11 05:59:59,1,3,,,,1,,0,,1,1,1
10015,SpecialPackageProduct,bngi0221_special_shop_product_fake_10015,bngi0221_special_shop_product_fake_10015,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1220,2019-11-25 06:30:00,2019-12-06 05:59:59,1,3,,,,1,,0,,1,1,1
10016,SpecialPackageProduct,bngi0221_special_shop_product_fake_10016,bngi0221_special_shop_product_fake_10016,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1220,2019-12-20 06:30:00,2020-01-01 05:59:59,1,3,,,,1,,0,,1,1,1
10017,SpecialPackageProduct,bngi0221_special_shop_product_fake_10017,bngi0221_special_shop_product_fake_10017,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1220,2020-01-13 06:30:00,2020-01-27 05:59:59,1,3,,,,1,,0,,1,1,1
10018,SpecialPackageProduct,bngi0221_special_shop_product_fake_10018,bngi0221_special_shop_product_fake_10018,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1220,2020-02-10 06:30:00,2020-02-21 05:59:59,1,3,,,,1,,0,,1,1,1
10019,SpecialPackageProduct,bngi0221_special_shop_product_fake_10019,bngi0221_special_shop_product_fake_10019,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1220,2020-02-25 06:30:00,2020-03-06 05:59:59,1,3,,,,1,,0,,1,1,1
10020,SpecialPackageProduct,bngi0221_special_shop_product_fake_10020,bngi0221_special_shop_product_fake_10020,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1220,2020-03-12 00:00:00,2020-03-23 05:59:59,1,3,,,,1,,0,,1,1,1
10021,SpecialPackageProduct,bngi0221_special_shop_product_fake_10021,bngi0221_special_shop_product_fake_10021,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1220,2020-04-10 06:30:00,2020-04-27 05:59:59,1,3,,,,1,,0,,1,1,1
10022,SpecialPackageProduct,bngi0221_special_shop_product_fake_10022,bngi0221_special_shop_product_fake_10022,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1220,2020-04-29 06:30:00,2020-05-11 05:59:59,1,3,,,,1,,0,,1,1,1
10023,SpecialPackageProduct,bngi0221_special_shop_product_fake_10023,bngi0221_special_shop_product_fake_10023,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1220,2020-05-29 06:30:00,2020-06-12 05:59:59,1,3,,,,1,,0,,1,1,1
10024,SpecialPackageProduct,bngi0221_special_shop_product_fake_10024,bngi0221_special_shop_product_fake_10024,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1220,2020-06-15 06:30:00,2020-06-21 23:59:59,1,3,,,,1,,0,,1,1,1
10025,SpecialPackageProduct,bngi0221_special_shop_product_fake_10025,bngi0221_special_shop_product_fake_10025,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1220,2020-06-26 06:30:00,2020-07-06 05:59:59,1,3,,,,1,,0,,1,1,1
10026,SpecialPackageProduct,bngi0221_special_shop_product_fake_10026,bngi0221_special_shop_product_fake_10026,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1220,2020-10-29 06:30:00,2020-11-09 05:59:59,1,3,,,,1,,0,,1,1,1
10027,SpecialPackageProduct,bngi0221_special_shop_product_fake_10027,bngi0221_special_shop_product_fake_10027,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1220,2020-11-26 06:30:00,2020-12-09 05:59:59,1,3,,,,1,,0,,1,1,1
10028,SpecialPackageProduct,bngi0221_special_shop_product_fake_10028,bngi0221_special_shop_product_fake_10028,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1220,2021-01-11 06:30:00,2021-01-22 05:59:59,1,3,,,,1,,0,,1,1,1
10029,SpecialPackageProduct,bngi0221_special_shop_product_fake_10029,bngi0221_special_shop_product_fake_10029,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1220,2021-03-09 06:30:00,2021-03-19 05:59:59,1,3,,,,1,,0,,1,1,1
10030,SpecialPackageProduct,bngi0221_special_shop_product_fake_10030,bngi0221_special_shop_product_fake_10030,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1220,2021-04-08 06:30:00,2021-04-26 05:59:59,1,3,,,,1,,0,,1,1,1
10031,SpecialPackageProduct,bngi0221_special_shop_product_fake_10031,bngi0221_special_shop_product_fake_10031,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1220,2021-05-13 06:30:00,2021-05-28 05:59:59,1,3,,,,1,,0,,1,1,1
10032,SpecialPackageProduct,bngi0221_special_shop_product_fake_10032,bngi0221_special_shop_product_fake_10032,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1220,2021-05-13 06:30:00,2021-05-28 05:59:59,1,3,,,,1,,0,,1,1,1
10033,SpecialPackageProduct,bngi0221_special_shop_product_fake_10033,bngi0221_special_shop_product_fake_10033,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1220,2021-06-11 06:30:00,2021-06-25 05:59:59,0,3,,,,1,,0,,1,1,1
10034,SpecialPackageProduct,bngi0221_special_shop_product_fake_10034,bngi0221_special_shop_product_fake_10034,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1220,2021-10-13 06:30:00,2021-10-25 05:59:59,1,3,,,,1,,0,,1,1,1
10035,SpecialPackageProduct,bngi0221_special_shop_product_fake_10035,bngi0221_special_shop_product_fake_10035,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1220,2021-11-18 06:30:00,2021-11-30 05:59:59,1,3,,,,1,,0,,1,1,1
10036,SpecialPackageProduct,bngi0221_special_shop_product_fake_10036,bngi0221_special_shop_product_fake_10036,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1220,2022-05-02 08:00:00,2022-05-21 05:59:59,1,3,,,,1,,0,,1,1,1
10037,SpecialPackageProduct,bngi0221_special_shop_product_fake_10037,bngi0221_special_shop_product_fake_10037,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1220,2022-07-19 00:00:00,2022-08-06 05:59:59,1,3,,,,1,,0,,1,1,1
10038,SpecialPackageProduct,bngi0221_special_shop_product_fake_10038,bngi0221_special_shop_product_fake_10038,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1220,2022-08-08 06:30:00,2022-08-12 06:29:59,1,3,,,,1,,0,,1,1,1
10040,SpecialPackageProduct,bngi0221_special_shop_product_fake_10040,bngi0221_special_shop_product_fake_10040,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1600,2022-11-11 06:30:00,2022-11-22 05:59:59,1,3,,,,1,,0,,1,1,1
10041,SpecialPackageProduct,bngi0221_special_shop_product_fake_10041,bngi0221_special_shop_product_fake_10041,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1600,2022-12-05 06:30:00,2022-12-18 05:59:59,1,3,,,,1,,0,,1,1,1
10042,SpecialPackageProduct,bngi0221_special_shop_product_fake_10042,bngi0221_special_shop_product_fake_10042,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1600,2023-01-05 08:00:00,2023-01-15 05:59:59,1,3,,,,1,,0,,1,1,1
10043,SpecialPackageProduct,bngi0221_special_shop_product_fake_10043,bngi0221_special_shop_product_fake_10043,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1600,2023-02-08 06:30:00,2023-02-17 05:59:59,1,3,,,,1,,0,,1,1,1
10044,SpecialPackageProduct,bngi0221_special_shop_product_fake_10044,bngi0221_special_shop_product_fake_10044,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1600,2023-03-08 06:30:00,2023-03-17 05:59:59,1,3,,,,1,,0,,1,1,1
10045,SpecialPackageProduct,bngi0221_special_shop_product_fake_10045,bngi0221_special_shop_product_fake_10045,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1600,2023-05-02 08:00:00,2023-05-11 05:59:59,1,3,,,,1,,0,,1,1,1
10046,SpecialPackageProduct,bngi0221_special_shop_product_fake_10046,bngi0221_special_shop_product_fake_10046,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1600,2023-06-06 06:30:00,2023-06-13 05:59:59,1,3,,,,1,,0,,1,1,1
10047,SpecialPackageProduct,bngi0221_special_shop_product_fake_10047,bngi0221_special_shop_product_fake_10047,,,Extreme Z-Battle Challenge Pack (Super Vegito) (Buu (Super)),Extreme Z-Battle Challenge Pack (Super Vegito) (Buu (Super)),banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1600,2023-07-12 00:00:00,2023-08-05 05:59:59,1,3,,,,1,,0,,1,1,1
10049,SpecialPackageProduct,bngi0221_special_shop_product_fake_10049,bngi0221_special_shop_product_fake_10049,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1600,2023-10-12 06:30:00,2023-10-20 05:59:59,1,3,,,,1,,0,,1,1,1
10050,SpecialPackageProduct,bngi0221_special_shop_product_fake_10050,bngi0221_special_shop_product_fake_10050,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1600,2023-11-10 06:30:00,2023-11-17 05:59:59,1,3,,,,1,,0,,1,1,1
10051,SpecialPackageProduct,bngi0221_special_shop_product_fake_10051,bngi0221_special_shop_product_fake_10051,,,Extreme Z-Battle Challenge Pack,Extreme Z-Battle Challenge Pack,banners/en/special_shop/180315_extreme_z_battle_challenge_pack.png,1600,2023-12-19 08:00:00,2023-12-25 05:59:59,1,3,,,,1,,0,,1,1,1
