id,name,description,exec_timing_type,calc_option,turn,probability,causality_conditions,icon_type,target_type,target_value1,target_value2,target_value3,sub_target_type_set_id,efficacy_type,eff_value1,eff_value2,eff_value3,is_eternal
103,"Deactivate ""Ki Reduction""",Deactivates the effect that reduces Ki,18,0,1,100,"{""source"":""3077"",""compiled"":3077}",0,2,0,0,0,0,22,18,102,0.0,1
104,Disable Super Attack Sealing,Nullifies Super Attack sealing effect,1,0,1,100,"{""source"":""3076"",""compiled"":3076}",0,4,0,0,0,0,14,0,0,,1
105,"Deactivate ""Disable Super Attack Sealing""",Deactivates the effect that nullifies Super Attack sealing,18,0,1,100,"{""source"":""3077"",""compiled"":3077}",0,4,0,0,0,0,22,18,104,1.0,1
106,Damage Reduction,Reduces damage received,1,0,1,100,"{""source"":""3076"",""compiled"":3076}",0,4,0,0,0,0,24,80,0,,1
107,"Deactivate ""Damage Reduction""",Deactivates the effect that reduces damage received,18,0,1,100,"{""source"":""3077"",""compiled"":3077}",0,4,0,0,0,0,22,18,106,1.0,1
108,Stun Immunity,Grants immunity to being stunned,1,0,1,100,"{""source"":""3076"",""compiled"":3076}",0,4,0,0,0,0,10,0,0,,1
109,"Deactivate ""Stun Immunity""",Deactivates the effect that grants immunity to being stunned,18,0,1,100,"{""source"":""3077"",""compiled"":3077}",0,4,0,0,0,0,22,18,108,1.0,1
110,Damage Reduction,Reduces damage received,1,0,1,100,"{""source"":""3076"",""compiled"":3076}",0,4,0,0,0,0,24,40,0,,1
111,"Deactivate ""Damage Reduction""",Deactivates the effect that reduces damage received,18,0,1,100,"{""source"":""3077"",""compiled"":3077}",0,4,0,0,0,0,22,18,110,1.0,1
112,ATK Boost,ATK +100%,1,2,1,100,"{""source"":""3076"",""compiled"":3076}",0,4,0,0,0,0,23,100,0,,1
113,"Deactivate ""ATK Boost""",Deactivates the effect that boosts ATK by 100%,18,0,1,100,"{""source"":""3077"",""compiled"":3077}",0,4,0,0,0,0,22,18,112,1.0,1
114,Lowered DEF,DEF -100%,1,3,1,100,"{""source"":""3076"",""compiled"":3076}",0,4,0,0,0,0,23,0,100,,1
115,"Deactivate ""Lowered DEF""",Deactivates the effect that lowers DEF by 100%,18,0,1,100,"{""source"":""3077"",""compiled"":3077}",0,4,0,0,0,0,22,18,114,1.0,1
116,Ki Reduction,"Enemies' Ki -5 
(will not become lower than 0)",1,1,1,100,"{""source"":""3076"",""compiled"":3076}",0,2,0,0,0,0,19,5,0,,1
117,"Deactivate ""Ki Reduction""",Deactivates the effect that reduces Ki,18,0,1,100,"{""source"":""3077"",""compiled"":3077}",0,2,0,0,0,0,22,18,116,0.0,1
