id,name,description,itemized_description
25,Pinky Swear,PHY Type enemy's ATK -30%,"*Basic effect(s)*
- PHY Type enemies' ATK 30%{passiveImg:down_y}"
26,Eliminate Them!,Ki +2 when facing 2 or more enemies,"*When facing 2 or more enemies*
- Ki +2"
27,Full Power,ATK +2500 when HP is 10% or below,"*When HP is 10% or less*
- ATK 2500{passiveImg:up_g}"
28,Paralysis,"Briefly lower all enemies' DEF to 0 upon 
being attacked","*After receiving an attack*
- All enemies' DEF 100%{passiveImg:down_y} for 3 turn(s)"
29,Fastest Thing Alive,Ki +2 when 1st to attack,"*As the 1st attacker in a turn*
- Ki +2"
30,Teamwork,"Being the 2nd attacker in a turn for allies’ 
ATK +1000","*As the 2nd attacker in a turn*
- All allies' ATK 1000{passiveImg:up_g}"
31,Buying Time,"Recover 10% HP when HP is 50% or 
below","*When HP is 50% or less*
- Recovers 10% HP"
32,Unexpected Attack,With a chance that all enemies' DEF - 50 %,"*When attacking*
- Chance of all enemies' DEF 50%{passiveImg:down_y}"
33,Perspiration,ATK +1500 when Ki is 5 or more,"*When attacking with 5 or more Ki*
- ATK 1500{passiveImg:up_g}"
34,Perfect Guard,"Damage received -30% 
when guard is activated","*After guard is activated*
- Damage reduction rate 30%{passiveImg:up_g}"
35,Super Power,Rare chance of increasing ATK by 50 %,"*Basic effect(s)*
- Rare chance of ATK 50%{passiveImg:up_g}"
36,Dormant Saiyan Power,ATK +1500 when HP is 30 % or below,"*When HP is 30% or less*
- ATK 1500{passiveImg:up_g}"
37,Earthling's Pride,DEF +2000 when facing only 1 enemy,"*When facing only 1 enemy*
- DEF 2000{passiveImg:up_g}"
38,Playing Dead,With a chance to recover HP by 10 %,"*Basic effect(s)*
- Chance of recovering 10% HP"
39,Restraint,Rare chance of stunning all enemies,"*Basic effect(s)*
- Rare chance of stunning all enemies"
40,Supernatural Power,"Rare chance of reducing all enemies' 
ATK by 15%","*Basic effect(s)*
- Rare chance of all enemies' ATK 15%{passiveImg:down_y}"
41,Somber Premonition,With a chance that all enemies' DEF - 50%,"*Basic effect(s)*
- Chance of all enemies' DEF 50%{passiveImg:down_y}"
42,Latent Power,ATK +1500 when Ki is 10 or more,"*When attacking with 10 or more Ki*
- ATK 1500{passiveImg:up_g}"
43,Teamwork,"ATK +1000 for all allies when 3 attacks in 
a row","*When attacking*
- All allies' ATK 1000{passiveImg:up_g}"
44,Energy Absorption,Recover 10% of damage dealt as HP,"*Basic effect(s)*
- Recovers 10% of damage dealt as HP"
45,Energy Absorption,"Recover 20% of damage dealt as HP 
when Ki >= 5",
46,Overwhelming Pressure,Disable enemy's guard,"*When attacking*
- Disables the enemy's guard"
47,Perfect Guard,"Damage received -30% 
when guard is activated","*After guard is activated*
- Damage reduction rate 30%{passiveImg:up_g}"
48,Perfect Form,Immune to negative effects,"*Basic effect(s)*
- {passiveImg:forever}Immune to negative effects"
49,Latent Power,"ATK +2500 when performing a Super 
Attack","*When attacking with 12 or more Ki*
- ATK 2500{passiveImg:up_g}"
50,Super Power,Rare chance of increasing ATK by 50%,"*Basic effect(s)*
- Rare chance of ATK 50%{passiveImg:up_g}"
51,Time Freeze,Rare chance to stun all enemies,"*Basic effect(s)*
- Rare chance of stunning all enemies"
52,Right Behind You,Ki +1 at start of turn,"*Basic effect(s)*
- Ki +1"
53,Teamwork,"ATK +1000 for all allies when 3 attacks in 
a row",
54,Assassin,ATK +1500 as the 3rd attacker in a turn,"*As the 3rd attacker in a turn*
- ATK 1500{passiveImg:up_g}"
55,Regenerative Power,With a chance to recover HP by 5%,"*Basic effect(s)*
- Chance of recovering 5% HP"
56,First Attack,Ki +1 when attacking,"*When attacking*
- Ki +1"
57,Warrior of Hope,ATK +50% when Ki is 5 or more,"*When attacking with 5 or more Ki*
- ATK 50%{passiveImg:up_g}"
58,The True Prince,Attacked enemy's ATK - 25%,"*Basic effect(s)*
- Attacked enemy's ATK 25%{passiveImg:down_y}"
59,Adversity,ATK +25% when Ki is 5 or more,"*When attacking with 5 or more Ki*
- ATK 25%{passiveImg:up_g}"
60,Warrior Race,ATK +30% when Ki is 8 or more,"*When attacking with 8 or more Ki*
- ATK 30%{passiveImg:up_g}"
61,Overwhelming Power,ATK +1500 at start of turn,"*Basic effect(s)*
- ATK 1500{passiveImg:up_g}"
62,Hopeless Terror,"With a chance that all enemies' 
ATK & DEF -30%","*Basic effect(s)*
- Chance of all enemies' ATK & DEF 30%{passiveImg:down_y}"
63,Absorption,Deliver the final blow for ATK +2500,"*At the end of the turn in which a final blow is delivered*
- {passiveImg:forever}ATK 2500{passiveImg:up_g}"
64,Energy Absorption,"Recovers 25% of damage dealt as HP 
when Ki is 8 or more","*After attacking with 8 or more Ki*
- Recovers 25% of damage dealt as HP"
65,Berserker's Rage,Ki +5 when HP is 30% or below,"*When HP is 30% or less*
- Ki +5"
66,No More Games,Rare chance of Ki +2 & ATK +1500,"*Basic effect(s)*
- Rare chance of Ki +2 and ATK 1500{passiveImg:up_g}"
67,Earth's Strongest,ATK +1500 when HP is 50% or less,"*When HP is 50% or less*
- ATK 1500{passiveImg:up_g}"
68,Regenerative Power,Recovers 12% HP when HP is 20% or less,"*When HP is 20% or less*
- Recovers 12% HP"
69,Ultimate Blow,"Ki +5 when HP is 10% or less 
(once only)","*When HP is 10% or less*
- {passiveImg:once}Ki +5"
70,Supernatural Power,AGL Type enemies' ATK - 25%,"*Basic effect(s)*
- AGL Type enemies' ATK 25%{passiveImg:down_y}"
71,Special Squad Attack,Has a chance of all allies' Ki +2,"*Basic effect(s)*
- Chance of all allies' Ki +2"
72,Desperation,"Enemies & allies' ATK +25% 
when HP is 30% or less","*When HP is 30% or less*
- All enemies' and all allies' ATK 25%{passiveImg:up_g}"
73,Destruction Blow,ATK +70% when Ki is at max,"*When attacking with 12 or more Ki*
- ATK 70%{passiveImg:up_g}"
74,Pride,AGL and PHY Type ATK and DEF +500,"*Basic effect(s)*
- AGL & PHY Type allies' ATK & DEF 500{passiveImg:up_g}"
75,My Choice,"May seal enemy's Super Attack 
when Ki is 5 or more","*When attacking with 5 or more Ki*
- Medium chance of sealing the enemy's Super Attack"
76,Energy Absorption,"Recover 30% of damage dealt as HP 
when Ki >= 5",
77,Energy Absorption,Recover 15% of damage dealt as HP,"*Basic effect(s)*
- Recovers 15% of damage dealt as HP"
78,Limitless Power,Ki +1 and ATK +1000 when HP is 50% or more,"*When HP is 50% or more*
- Ki +1 and ATK 1000{passiveImg:up_g}"
79,Limitless Power,Ki +2 when HP is 50% or more,"*When HP is 50% or more*
- Ki +2"
80,The Mission,ATK +50% for first attack only,"*Basic effect(s)*
- ATK 50%{passiveImg:up_g}"
81,Super Power,ATK and DEF +100% for 3 turns,
82,Assassin's 20th Anniversary,Rare chance to stun all enemies,"*Basic effect(s)*
- Rare chance of stunning all enemies"
83,Latent Power,ATK +1500 when Ki is 10 or more,"*When attacking with 10 or more Ki*
- ATK 1500{passiveImg:up_g}"
84,Enthusiasm,Ki +2 and ATK +500 for first attack only,"*Basic effect(s)*
- Ki +2 and ATK 500{passiveImg:up_g}"
85,Restraint,Rare chance to stun all enemies,"*Basic effect(s)*
- Rare chance of stunning all enemies"
86,Psychokinesis,"Disable enemy's guard when Ki is 5 or 
more","*When attacking with 5 or more Ki*
- Disables the enemy's guard"
87,Desert Wolf,Enemy DEF -30% when Ki is 5 or more,"*When attacking with 5 or more Ki*
- Enemies' DEF 30%{passiveImg:down_y}"
88,First Attack,ATK +50% for first attack only,"*Basic effect(s)*
- ATK 50%{passiveImg:up_g}"
89,Energy Absorption,"May recover HP from 25% of damage 
delivered","*Basic effect(s)*
- Medium chance of recovering 25% of damage dealt as HP"
90,Energy Absorption,"May recover HP from 25% of damage 
delivered","*Basic effect(s)*
- Medium chance of recovering 25% of damage dealt as HP"
91,Full Throttle,ATK +1000 when Ki is 5 or more,"*When attacking with 5 or more Ki*
- ATK 1000{passiveImg:up_g}"
92,Full Throttle,Ki +5 when battle begins,
93,God of Martial Arts,ATK +1200 at start of turn,"*Basic effect(s)*
- ATK 1200{passiveImg:up_g}"
94,Abnormal Assault,"Super damage to stun enemies when Ki 
is 5 or more",
95,I'll Train You,20% more EXP Points gained after battle,
96,Demonic Wonderment,"Deliver the final blow for Ki +5 in the next 
attack",
97,Latent Power,ATK +500 when Ki is 8 or more,
98,Latent Power,ATK +500 when Ki is 8 or more,
99,Don't Break a Woman's Heart,ATK +500 for 1 turn,
100,Teamwork,"ATK +1000 for all allies when 3 attacks in 
a row",
101,Triple Attack,"ATK +10% for all allies when 3 attacks in 
a row",
102,Healthy Body,Immune to negative effects,
103,Lucky Punch,Link Skill effect +200%,
104,Unbending Will,DEF +2000 when HP is 20% or below,
105,Simple-Minded Assassin,Ki +3 when HP is 100%,
106,Strong Body,Immune to negative effects,
107,Soak it Up,Ki +3 when Ki is 5 or more,
108,Soak it Up,"Recover 30% of damage dealt as HP 
when Ki >= 5",
109,Steadfast Hero,Immune to negative effects,
110,Absorption,"Recover 10% of damage dealt as HP 
when Ki >= 5",
111,10X Gravity,Enemy's DEF -500 for 5 turns,
112,I'm Fast!,ATK +1000 as the 1st attacker in a turn,
113,Saibaiman's Bewilderment,ATK +300 when Ki is 5 or below,
114,Pure Tenacity,ATK +1200 when Ki is 5 or more,"*When attacking with 5 or more Ki*
- ATK 1200{passiveImg:up_g}"
115,Overflowing Ki,With a chance of Ki +2,"*Basic effect(s)*
- Chance of Ki +2"
116,Master's Teachings,AGL and PHY Type Ki + 2,
117,Warrior Race,Ki +2 when facing 2 or more enemies,
118,Adversity,ATK +1500 when HP is 30% or below,"*When HP is 30% or less*
- ATK 1500{passiveImg:up_g}"
119,Lust for Victory,STR Type enemies' ATK - 20%,"*Basic effect(s)*
- STR Type enemies' ATK 20%{passiveImg:down_y}"
120,Full Speed,Ki +3 when HP is 100%,"*When HP is 100%*
- Ki +3"
121,Master's Teachings,"All allies' ATK +1000 when HP is 50% or 
above",
122,Teamwork,ATK +1000 as the 2nd attacker in a turn,"*As the 2nd attacker in a turn*
- ATK 1000{passiveImg:up_g}"
123,Guard Break,"Disable enemy's guard 
when Ki is 5 or more",
124,Proof of Effort,TEQ & STR Types ATK +700,"*Basic effect(s)*
- TEQ & STR Type allies' ATK 700{passiveImg:up_g}"
125,Teamwork,ATK +1000 as the 3rd attacker in a turn,"*As the 3rd attacker in a turn*
- ATK 1000{passiveImg:up_g}"
126,Exceptional Luck,With a chance that all allies' ATK + 500,
127,Champion's Pride,Ki +3 when ATK is higher than enemy's,"*Basic effect(s)*
- Ki +3"
128,Deep Affection,With a chance to recover 2000 HP,"*Basic effect(s)*
- Chance of recovering 2000 HP"
129,Secrets of the Crane School,All enemies' ATK -10%,"*Basic effect(s)*
- All enemies' ATK 10%{passiveImg:down_y}"
130,Berserker's Rage,ATK +2000 when HP is 30% or less,"*When HP is 30% or less*
- ATK 2000{passiveImg:up_g}"
131,Cold Decision,DEF +1500 when HP is 50% or above,"*When HP is 50% or more*
- DEF 1500{passiveImg:up_g}"
132,Abandonment,"With a chance to reduce damage 
received by 50%","*When receiving an attack*
- Chance of damage reduction rate 50%{passiveImg:up_g} within the turn"
133,Counterattack,"Temporarily ATK + 2000 after being 
attacked","*After receiving an attack*
- ATK 2000{passiveImg:up_g} for 4 turn(s)"
134,Backup,DEF +1000 for all allies,"*Basic effect(s)*
- All allies' DEF 1000{passiveImg:up_g}"
135,Moment of Truth,All allies' DEF +50% when HP is 30% or less,"*When HP is 30% or less*
- All allies' DEF 50%{passiveImg:up_g}"
136,Warrior's Spirit,Rare chance of sealing all enemies' Super Attacks,"*Basic effect(s)*
- Rare chance of sealing all enemies' Super Attacks"
137,Overwhelming Pressure,Has a chance of reducing all enemies' DEF to 0,"*Basic effect(s)*
- Chance of all enemies' DEF 100%{passiveImg:down_y}"
138,Morale,Ki +1 at start of turn,"*Basic effect(s)*
- Ki +1"
139,Teamwork,"DEF -50% for enemy when 3 attacks in a 
row","*When attacking*
- Enemies' DEF 50%{passiveImg:down_y}"
140,Teamwork,Attacked enemy's ATK - 10% for 3 Turns,"*Basic effect(s)*
- Attacked enemy's ATK 10%{passiveImg:down_y} for 3 turn(s)"
141,Psychokinesis,May stun all enemies,"*Basic effect(s)*
- {passiveImg:once}Stuns all enemies"
142,Lucky Punch,Rare chance of increasing ATK by 50%,"*Basic effect(s)*
- Rare chance of ATK 50%{passiveImg:up_g}"
143,Decision,ATK +40% when HP is 30% or below,"*When HP is 30% or less*
- ATK 40%{passiveImg:up_g}"
144,Conviction,Ki +3 when HP is 80% or below,"*When HP is 80% or less*
- Ki +3"
145,Super Power,Rare chance of ATK +100%,"*Basic effect(s)*
- Rare chance of ATK 100%{passiveImg:up_g}"
146,Courage,"Rare chance of increasing all allies' ATK 
by 25%","*Basic effect(s)*
- Rare chance of all allies' ATK 25%{passiveImg:up_g}"
147,Awakening,Ki +2 when HP is 50% or above,"*When HP is 50% or more*
- Ki +2"
148,Divine Protection,DEF +25% for all allies,"*Basic effect(s)*
- All allies' DEF 25%{passiveImg:up_g}"
149,Quick Temper,ATK +2000 when HP is 30% or less,"*When HP is 30% or less*
- ATK 2000{passiveImg:up_g}"
150,Prudence,Rare chance of DEF +100%,"*Basic effect(s)*
- Rare chance of DEF 100%{passiveImg:up_g}"
151,Focus,ATK +25% when Ki is 8 or more,"*When attacking with 8 or more Ki*
- ATK 25%{passiveImg:up_g}"
152,Mercenary's Might,Rare chance of increasing ATK by 50%,"*Basic effect(s)*
- Rare chance of ATK 50%{passiveImg:up_g}"
153,Smile of Composure,"ATK and DEF +25% when HP is 80% or 
below","*When HP is 80% or less*
- ATK & DEF 25%{passiveImg:up_g}"
154,Guard Break,"Disable enemy's guard when Ki is 5 or 
more","*When attacking with 5 or more Ki*
- Disables the enemy's guard"
155,Stunning Speed,TEQ & STR Types Ki +1,"*Basic effect(s)*
- TEQ & STR Type allies' Ki +1"
156,The Pinnacle of Power,ATK +30% at start of turn,"*Basic effect(s)*
- ATK 30%{passiveImg:up_g}"
157,Backup,DEF +1000 for all allies,"*Basic effect(s)*
- All allies' DEF 1000{passiveImg:up_g}"
158,No More Games,Rare chance of increasing ATK by 100%,"*Basic effect(s)*
- Rare chance of ATK 100%{passiveImg:up_g}"
159,Charge,INT Type ATK +10%,"*Basic effect(s)*
- INT Type allies' ATK 10%{passiveImg:up_g}"
160,Super Elite Strength,ATK +40% when Ki is 8 or more,"*When attacking with 8 or more Ki*
- ATK 40%{passiveImg:up_g}"
161,Defensive Poise,DEF +50% at start of turn,"*Basic effect(s)*
- DEF 50%{passiveImg:up_g}"
162,Hidden Potential,Rare chance of increasing Ki by 5,"*Basic effect(s)*
- Rare chance of Ki +5"
163,Supersonic,Ki +3 when HP is 99% or below,"*When HP is 99% or less*
- Ki +3"
164,Courage,"All allies' ATK +15% 
when HP is 50% or more","*When HP is 50% or more*
- All allies' ATK 15%{passiveImg:up_g}"
165,No More Games,"Very rare chance of increasing ATK by 
70%","*Basic effect(s)*
- Very rare chance of ATK 70%{passiveImg:up_g}"
166,First Attack,ATK +50% for first attack only,"*Basic effect(s)*
- ATK 50%{passiveImg:up_g}"
167,Warrior's Spirit,ATK +30% when Ki is 8 or more,"*When attacking with 8 or more Ki*
- ATK 30%{passiveImg:up_g}"
168,Brick Wall,DEF +2000 when HP is 50% or above,"*When HP is 50% or more*
- DEF 2000{passiveImg:up_g}"
169,Honed Technique,TEQ Type ATK +10%,"*Basic effect(s)*
- TEQ Type allies' ATK 10%{passiveImg:up_g}"
170,Vengeful Power,ATK +32% when Ki is 7 or more,"*When attacking with 7 or more Ki*
- ATK 32%{passiveImg:up_g}"
171,Against the Odds,ATK +40% when facing 2 or more enemies,"*When facing 2 or more enemies*
- ATK 40%{passiveImg:up_g}"
172,Hidden Potential,Rare chance of increasing ATK by 100%,"*Basic effect(s)*
- Rare chance of ATK 100%{passiveImg:up_g}"
173,Force of Will,Rare chance of increasing ATK by 50%,"*Basic effect(s)*
- Rare chance of ATK 50%{passiveImg:up_g}"
174,Instant Transmission,Rare chance of increasing Ki by 5,"*Basic effect(s)*
- Rare chance of Ki +5"
175,Warrior's Fighting Spirit,Rare chance of increasing ATK by 50%,"*Basic effect(s)*
- Rare chance of ATK 50%{passiveImg:up_g}"
176,Perfect Body,ATK & DEF +25% at start of turn,"*Basic effect(s)*
- ATK & DEF 25%{passiveImg:up_g}"
177,Furious Awakening,ATK +30% at start of turn,"*Basic effect(s)*
- ATK 30%{passiveImg:up_g}"
178,Energy Absorption,"Recovers 20% of damage dealt as HP 
when Ki is 6 or more","*After attacking with 6 or more Ki*
- Recovers 20% of damage dealt as HP"
179,Warrior's Spirit,Rare chance of increasing ATK by 50%,
180,Overconfidence,"ATK & DEF +1000 
when HP is 50% or more","*When HP is 50% or more*
- ATK & DEF 1000{passiveImg:up_g}"
181,Full Power,ATK +20% at start of turn,"*Basic effect(s)*
- ATK 20%{passiveImg:up_g}"
182,Naivety,Ki +1 and ATK +500 at start of turn,"*Basic effect(s)*
- Ki +1 and ATK 500{passiveImg:up_g}"
183,Divine Strength,"ATK +80% when 
performing a Super Attack","*When attacking with 12 or more Ki*
- ATK 80%{passiveImg:up_g}"
184,Ultimate Power,"ATK +80% when performing a Super 
Attack","*When attacking with 12 or more Ki*
- ATK 80%{passiveImg:up_g}"
185,Supreme Evolution,ATK +40% at start of turn,"*Basic effect(s)*
- ATK 40%{passiveImg:up_g}"
186,Dignity in Destruction,ATK +25% at start of turn,"*Basic effect(s)*
- ATK 25%{passiveImg:up_g}"
187,Martial Arts Primer,All allies' ATK & DEF +12%,"*Basic effect(s)*
- All allies' ATK & DEF 12%{passiveImg:up_g}"
188,Practice Makes Perfect,ATK +40% when Ki is 8 or more,"*When attacking with 8 or more Ki*
- ATK 40%{passiveImg:up_g}"
189,Proof of Genius,ATK & DEF +30% when Ki is 8 or more,"*When attacking with 8 or more Ki*
- ATK & DEF 30%{passiveImg:up_g}"
190,Nightmare,High chance that all enemies' DEF - 25%,"*Basic effect(s)*
- High chance of all enemies' DEF 25%{passiveImg:down_y}"
191,Advanced Tactics,"Very rare chance all allies' ATK & DEF 
+30%","*Basic effect(s)*
- Very rare chance of all allies' ATK & DEF 30%{passiveImg:up_g}"
192,On a Mission,Ki +1 at start of turn,"*Basic effect(s)*
- Ki +1"
193,Friendship,Recover 1500 HP at start of turn,"*Basic effect(s)*
- Recovers 1500 HP at the start of turn"
194,Warrior's Spirit,Rare chance of increasing ATK by 50%,
195,Focus,ATK +25% when Ki is 8 or more,"*When attacking with 8 or more Ki*
- ATK 25%{passiveImg:up_g}"
196,State of Oppression,All enemies ATK -10%,"*Basic effect(s)*
- All enemies' ATK 10%{passiveImg:down_y}"
197,In the Zone,"ATK & DEF +25% when HP is 80% or 
below","*When HP is 80% or less*
- ATK & DEF 25%{passiveImg:up_g}"
198,Galactic Force,With a chance to stun all enemies,"*Basic effect(s)*
- Rare chance of stunning all enemies"
199,MAX Power,"ATK +70% when performing a Super 
Attack","*When attacking with 12 or more Ki*
- ATK 70%{passiveImg:up_g}"
200,Limit Break,"Super-rare chance of Ki +7 and ATK 
+2500","*Basic effect(s)*
- Super-rare chance of Ki +7 and ATK 2500{passiveImg:up_g}"
201,Primed for Battle,ATK & DEF +15% at start of turn,"*Basic effect(s)*
- ATK & DEF 15%{passiveImg:up_g}"
202,Focused Wrath,Ki +2 when HP is 50% or more,"*When HP is 50% or more*
- Ki +2"
203,Pro Fighter,"ATK and DEF +1000 when HP is 50% or 
above","*When HP is 50% or more*
- ATK & DEF 1000{passiveImg:up_g}"
204,Undying Body,"Recover 25% HP whenever HP is 30% or 
below","*When HP is 30% or less at the start of turn*
- Recovers 25% HP"
205,Mystic Power,ATK +25% at start of turn,"*Basic effect(s)*
- ATK 25%{passiveImg:up_g}"
206,Sorcery,"ATK +10% for all allies when HP is 50% 
or above","*When HP is 50% or more*
- All allies' ATK 10%{passiveImg:up_g}"
207,Brattish Behavior,ATK +1500 when HP is 30% or below,"*When HP is 30% or less*
- ATK 1500{passiveImg:up_g}"
208,Power Spike,ATK +2000 at start of turn,"*Basic effect(s)*
- ATK 2000{passiveImg:up_g}"
209,Chosen Warrior,Ki +2 when HP is 50% or above,"*When HP is 50% or more*
- Ki +2"
210,Perfect Guard,"Damage received -30% 
when guard is activated","*After guard is activated*
- Damage reduction rate 30%{passiveImg:up_g}"
211,First Attack,ATK +50% for first attack only,"*Basic effect(s)*
- ATK 50%{passiveImg:up_g}"
212,Warrior's Spirit,Rare chance of increasing ATK by 50%,
213,Overwhelming Power,ATK +2000 at start of turn,"*Basic effect(s)*
- ATK 2000{passiveImg:up_g}"
214,Hopeless Terror,"Medium chance that all enemies' 
ATK & DEF -30%","*Basic effect(s)*
- Medium chance of all enemies' ATK & DEF 30%{passiveImg:down_y}"
215,Smile of Composure,"ATK & DEF + 30% when HP is 80% or 
below","*When HP is 80% or less*
- ATK & DEF 30%{passiveImg:up_g}"
216,Guard Break,Enemy's guard disabled and DEF- 50%,"*When attacking*
- Disables the enemy's guard
- Enemies' DEF 50%{passiveImg:down_y}"
217,Stunning Speed,TEQ & STR Types Ki +2,"*Basic effect(s)*
- TEQ & STR Type allies' Ki +2"
218,The Pinnacle of Power,ATK +40% at start of turn,"*Basic effect(s)*
- ATK 40%{passiveImg:up_g}"
219,Nightmare,High chance that all enemies' DEF - 50%,"*Basic effect(s)*
- High chance of all enemies' DEF 50%{passiveImg:down_y}"
220,Vengeful Power,ATK + 42% when Ki is 7 or more,"*When attacking with 7 or more Ki*
- ATK 42%{passiveImg:up_g}"
221,Surge,All allies' ATK +500,"*Basic effect(s)*
- All allies' ATK 500{passiveImg:up_g}"
222,Perfect Form,ATK & DEF +20% at start of turn,"*Basic effect(s)*
- ATK & DEF 20%{passiveImg:up_g}"
223,Eternal Life,Recover 5% HP at start of turn,"*Basic effect(s)*
- Recovers 5% HP at the start of turn"
224,Inorganic Matter,Enemy DEF - 50% when Ki is 5 or more,"*When attacking with 5 or more Ki*
- Enemies' DEF 50%{passiveImg:down_y}"
225,Regality,Ki +3 when HP is 50% or below,"*When HP is 50% or less*
- Ki +3"
226,Developing Talent,Ki +2 when HP is 50% or more,"*When HP is 50% or more*
- Ki +2"
227,Latent Ability,High chance of Ki +3,"*Basic effect(s)*
- High chance of Ki +3"
228,Demon King's Alter Ego,Rare chance to stun all enemies,"*Basic effect(s)*
- Rare chance of stunning all enemies"
229,Bouncing off the Walls,"ATK +30% when there are 2 or more 
enemies","*When facing 2 or more enemies*
- ATK 30%{passiveImg:up_g}"
230,Unshackled Power,ATK +35% at start of turn,"*Basic effect(s)*
- ATK 35%{passiveImg:up_g}"
231,Evil Mindset,ATK +2500 when HP is 99% or below,"*When HP is 99% or less*
- ATK 2500{passiveImg:up_g}"
232,Strike of Willpower,Ki+2 when HP is 50% or above,"*When HP is 50% or more*
- Ki +2"
233,Space Piracy,ATK +1500 as the 1st attacker in a turn,"*When attacking*
- ATK 1500{passiveImg:up_g}"
234,Evil Emperor,All enemies' ATK - 8%,"*Basic effect(s)*
- All enemies' ATK 8%{passiveImg:down_y}"
235,Evil Emperor,All enemies' ATK - 12%,"*Basic effect(s)*
- All enemies' ATK 12%{passiveImg:down_y}"
236,Greatest Power,TEQ and STR Type Ki +2,"*Basic effect(s)*
- TEQ & STR Type allies' Ki +2"
237,Powerful Transformation,ATK +50% when Ki is 5 or more,"*When attacking with 5 or more Ki*
- ATK 50%{passiveImg:up_g}"
238,Overflowing Malice,"ATK +50% when performing a Super 
Attack","*When attacking with 12 or more Ki*
- ATK 50%{passiveImg:up_g}"
239,Brutal Blow,ATK +75% when performing a Super Attack,"*When attacking with 12 or more Ki*
- ATK 75%{passiveImg:up_g}"
240,Staggering Speed,Recover 5% HP at start of turn,"*Basic effect(s)*
- Recovers 5% HP at the start of turn"
241,Stunning Swordsmanship,TEQ and STR Ki +1,"*Basic effect(s)*
- TEQ & STR Type allies' Ki +1"
242,"Gargantuan Body, Colossal Power",STR and PHY Type ATK +10%,"*Basic effect(s)*
- STR & PHY Type allies' ATK 10%{passiveImg:up_g}"
243,Barrier,INT and STR Type Ki +1,"*Basic effect(s)*
- INT & STR Type allies' Ki +1"
244,Will to Succeed,ATK +20% at start of turn,"*Basic effect(s)*
- ATK 20%{passiveImg:up_g}"
245,Lightning Strike,ATK +30% at start of turn,"*Basic effect(s)*
- ATK 30%{passiveImg:up_g}"
246,Strength to Defend the Earth,AGL and STR Ki +2,"*Basic effect(s)*
- AGL & STR Type allies' Ki +2"
247,Full-Power Blitz,ATK & DEF +40% when HP is 80% or less,"*When HP is 80% or less*
- ATK & DEF 40%{passiveImg:up_g}"
248,Power to Surmount a God,Ki +2 when HP is 50% or above,"*When HP is 50% or more*
- Ki +2"
249,Abhorrent Android,ATK +40% when Ki is 8 or more,"*When attacking with 8 or more Ki*
- ATK 40%{passiveImg:up_g}"
250,Parts Absorption,ATK +50% when Ki is 8 or more,"*When attacking with 8 or more Ki*
- ATK 50%{passiveImg:up_g}"
251,Strongest from the West,"ATK +10% for all allies when HP is 50% 
or above","*When HP is 50% or more*
- All allies' ATK 10%{passiveImg:up_g}"
252,Warrior's Fighting Spirit,Rare chance of increasing ATK by 50%,"*Basic effect(s)*
- Rare chance of ATK 50%{passiveImg:up_g}"
