id,type,mission_category_id,name,panel_name,priority,orderer_id,description,target_value,display_target_value,target_100_value,conditions,link_to,area_id,z_battle_stage_id,origin_episode_id,origin_battle_id,start_at,end_at,end_at_hidden
121,Mission::QuestAndZBattleClearMission::CountMission,9,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",,10,3,"[3rd Anniversary] 
Porunga Dragon Ball Campaign",1,,,"{""single_element"": true}",,,,,,2018-07-27 06:30:00,2018-08-13 05:59:59,1
201,Mission::TreasureShopExchangeMission::UseItemsMission,10,Porunga Dragon Ball Campaign,,10,3,Porunga Dragon Ball Campaign,1,,,"{""treasure_item_id"": 9107}",,,,,,2018-11-12 06:00:00,2018-12-11 05:59:59,1
202,Mission::QuestAndZBattleClearMission::CountMission,10,Porunga Dragon Ball Campaign,,10,3,Porunga Dragon Ball Campaign,1,,,"{""area_category_ids"": [7]}",,,,,,2018-11-13 06:00:00,2018-12-11 05:59:59,1
203,Mission::QuestClearMission::GetZeniMission,10,Porunga Dragon Ball Campaign,,10,3,Porunga Dragon Ball Campaign,77777,,,{},,,,,,2018-11-14 06:00:00,2018-12-11 05:59:59,1
204,Mission::CardAwakeningMission::DokkanCountMission,10,Porunga Dragon Ball Campaign,,10,3,Porunga Dragon Ball Campaign,1,,,{},,,,,,2018-11-15 06:00:00,2018-12-11 05:59:59,1
205,Mission::BattleStartMission::UseActMission,10,Porunga Dragon Ball Campaign,,10,3,Porunga Dragon Ball Campaign,77,,,{},,,,,,2018-11-16 06:00:00,2018-12-11 05:59:59,1
206,Mission::CardPotentialReleaseMission::CountMission,10,Porunga Dragon Ball Campaign,,10,3,Porunga Dragon Ball Campaign,1,,,{},,,,,,2018-11-17 06:00:00,2018-12-11 05:59:59,1
207,Mission::ClientSideMission,10,Porunga Dragon Ball Campaign,,10,3,Porunga Dragon Ball Campaign,1,,,"{""banner_img"": ""https://d3bb21colkb6no.cloudfront.net/images/home/myp_banner_plain_camp_20181112_B.png"", ""tap_banner"": 1}",,,,,,2018-11-18 06:00:00,2018-12-11 05:59:59,1
301,Mission::CardTrainingMission::UseTrainingFieldMission,7,"[250M] 
Porunga Dragon Ball Campaign",,10,3,"[250M] 
Porunga Dragon Ball Campaign",1,,,{},,,,,,2018-08-22 05:00:00,2018-10-04 04:59:59,1
302,Mission::ItemExchangeMission::GetExchangePointMission,7,"[250M] 
Porunga Dragon Ball Campaign",,10,3,"[250M] 
Porunga Dragon Ball Campaign",1,,,{},,,,,,2018-08-23 05:00:00,2018-10-04 04:59:59,1
303,Mission::ClientSideMission,7,"[250M] 
Porunga Dragon Ball Campaign",,10,3,"[250M] 
Porunga Dragon Ball Campaign",1,,,"{""quest_event_switch"": 5}",,,,,,2018-08-24 05:00:00,2018-10-04 04:59:59,1
304,Mission::GashaDrawMission::CountMission,7,"[250M] 
Porunga Dragon Ball Campaign",,10,3,"[250M] 
Porunga Dragon Ball Campaign",1,,,"{""types"": [""Gasha::PointGasha""]}",,,,,,2018-08-25 05:00:00,2018-10-04 04:59:59,1
305,Mission::QuestAndZBattleClearMission::UseSupportItemsMission,7,"[250M] 
Porunga Dragon Ball Campaign",,10,3,"[250M] 
Porunga Dragon Ball Campaign",1,,,"{""support_item_ids"": [6]}",,,,,,2018-08-26 05:00:00,2018-10-04 04:59:59,1
306,Mission::CardAwakeningMission::CountMission,7,"[250M] 
Porunga Dragon Ball Campaign",,10,3,"[250M] 
Porunga Dragon Ball Campaign",1,,,"{""awakening_item_id"": 10}",,,,,,2018-08-27 05:00:00,2018-10-04 04:59:59,1
307,Mission::QuestAndZBattleClearMission::CountMission,7,"[250M] 
Porunga Dragon Ball Campaign",,10,3,"[250M] 
Porunga Dragon Ball Campaign",1,,,"{""card_unique_info_ids"": [10]}",,,,,,2018-08-28 05:00:00,2018-10-04 04:59:59,1
308,Mission::CardAwakeningMission::ZCountMission,8,"[250M] 
Porunga Dragon Ball Campaign",,10,3,"[250M] 
Porunga Dragon Ball Campaign",1,,,{},,,,,,2018-08-29 05:00:00,2018-10-04 04:59:59,1
309,Mission::QuestAndZBattleClearMission::CountMission,8,"[250M] 
Porunga Dragon Ball Campaign",,10,3,"[250M] 
Porunga Dragon Ball Campaign",1,,,"{""sugoroku_map_ids"": [3460010, 3460012, 3460020, 3460022, 3460032, 3460040, 3460042, 3460050, 3460052, 3460060, 3460062, 3460070, 3460072, 3460080, 3460082]}",,,,,,2018-08-30 05:00:00,2018-10-04 04:59:59,1
310,Mission::QuestAndZBattleClearMission::CountMission,8,"[250M] 
Porunga Dragon Ball Campaign",,10,3,"[250M] 
Porunga Dragon Ball Campaign",1,,,"{""is_or_branch"": false, ""element_conditions"": [{""element"": 0, ""num_gteq"": 1}, {""element"": 1, ""num_gteq"": 1}, {""element"": 2, ""num_gteq"": 1}, {""element"": 3, ""num_gteq"": 1}, {""element"": 4, ""num_gteq"": 1}]}",,,,,,2018-08-31 05:00:00,2018-10-04 04:59:59,1
311,Mission::QuestClearMission::GetTrainingItemsMission,8,"[250M] 
Porunga Dragon Ball Campaign",,10,3,"[250M] 
Porunga Dragon Ball Campaign",5,,,"{""in_one_quest"": true}",,,,,,2018-09-01 05:00:00,2018-10-04 04:59:59,1
312,Mission::ClientSideMission,8,"[250M] 
Porunga Dragon Ball Campaign",,10,3,"[250M] 
Porunga Dragon Ball Campaign",1,,,"{""revolver_rotate"": 7}",,,,,,2018-09-02 05:00:00,2018-10-04 04:59:59,1
313,Mission::QuestAndZBattleClearMission::CountMission,8,"[250M] 
Porunga Dragon Ball Campaign",,10,3,"[250M] 
Porunga Dragon Ball Campaign",1,,,"{""all_card_category_ids"": [14]}",,,,,,2018-09-03 05:00:00,2018-10-04 04:59:59,1
314,Mission::ClientSideMission,8,"[250M] 
Porunga Dragon Ball Campaign",,10,3,"[250M] 
Porunga Dragon Ball Campaign",1,,,"{""banner_img"": ""https://d3bb21colkb6no.cloudfront.net/images/home/myp_banner_plain_camp_20180821_B.png"", ""tap_banner"": 1}",,,,,,2018-09-04 05:00:00,2018-10-04 04:59:59,1
315,Mission::QuestAndZBattleClearMission::CountMission,9,"[250M] 
Porunga Dragon Ball Campaign",,10,3,"[250M] 
Porunga Dragon Ball Campaign",1,,,"{""clear_time_lt"": ""00:02:50""}",,,,,,2018-09-05 05:00:00,2018-10-04 04:59:59,1
316,Mission::QuestAndZBattleClearMission::CountMission,9,"[250M] 
Porunga Dragon Ball Campaign",,10,3,"[250M] 
Porunga Dragon Ball Campaign",1,,,"{""area_category_ids"": [10]}",,,,,,2018-09-06 05:00:00,2018-10-04 04:59:59,1
317,Mission::QuestAndZBattleClearMission::CountMission,9,"[250M] 
Porunga Dragon Ball Campaign",,10,3,"[250M] 
Porunga Dragon Ball Campaign",1,,,"{""require_use_no_support_item"": true}",,,,,,2018-09-07 05:00:00,2018-10-04 04:59:59,1
318,Mission::QuestAndZBattleClearMission::CountMission,9,"[250M] 
Porunga Dragon Ball Campaign",,10,3,"[250M] 
Porunga Dragon Ball Campaign",1,,,"{""battle_types"": [""quest""], ""require_no_damage"": true}",,,,,,2018-09-08 05:00:00,2018-10-04 04:59:59,1
319,Mission::QuestAndZBattleClearMission::CountMission,9,"[250M] 
Porunga Dragon Ball Campaign",,10,3,"[250M] 
Porunga Dragon Ball Campaign",1,,,"{""sugoroku_map_ids"": [1400012, 1410012, 1420012, 1430012, 1440012, 1490012, 1490022, 1490032, 1490042, 1490052, 1460012, 1460022, 1460032, 1460042, 1460052]}",,,,,,2018-09-09 05:00:00,2018-10-04 04:59:59,1
320,Mission::QuestAndZBattleClearMission::CountMission,9,"[250M] 
Porunga Dragon Ball Campaign",,10,3,"[250M] 
Porunga Dragon Ball Campaign",1,,,"{""area_category_ids"": [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12], ""energy_ball_counts_in_boss_battle"": [0, 0, 0, 25]}",,,,,,2018-09-10 05:00:00,2018-10-04 04:59:59,1
321,Mission::QuestAndZBattleClearMission::CountMission,9,"[250M] 
Porunga Dragon Ball Campaign",,10,3,"[250M] 
Porunga Dragon Ball Campaign",1,,,"{""battle_types"": [""z_battle""]}",,,,,,2018-09-11 05:00:00,2018-10-04 04:59:59,1
401,Mission::TreasureShopExchangeMission::UseItemsMission,16,Porunga Dragon Ball Campaign,,10,3,Porunga Dragon Ball Campaign,1,,,"{""treasure_item_id"": 9108}",,,,,,2019-11-12 00:00:00,2019-12-08 23:59:59,1
402,Mission::BattleStartMission::UseActMission,16,Porunga Dragon Ball Campaign,,10,3,Porunga Dragon Ball Campaign,77,,,{},,,,,,2019-11-13 00:00:00,2019-12-08 23:59:59,1
403,Mission::QuestAndZBattleClearMission::CountMission,16,Porunga Dragon Ball Campaign,,10,3,Porunga Dragon Ball Campaign,1,,,"{""sugoroku_map_ids"": [3610010, 3610012]}",,,,,,2019-11-14 00:00:00,2019-12-08 23:59:59,1
404,Mission::ClientSideMission,16,Porunga Dragon Ball Campaign,,10,3,Porunga Dragon Ball Campaign,1,,,"{""scouter_break_gasha_ids"": [71, 76, 134, 454, 569, 599, 600, 601, 999, 6902, 7010, 7588, 8028, 8040, 8042, 8044, 8056, 8058, 8060, 8062, 8066, 8068, 8086, 8078, 8080, 8082]}",,,,,,2019-11-15 00:00:00,2019-12-08 23:59:59,1
405,Mission::QuestAndZBattleClearMission::UseSupportItemsMission,16,Porunga Dragon Ball Campaign,,10,3,Porunga Dragon Ball Campaign,1,,,"{""support_item_ids"": [6]}",,,,,,2019-11-16 00:00:00,2019-12-08 23:59:59,1
406,Mission::QuestAndZBattleClearMission::CountMission,16,Porunga Dragon Ball Campaign,,10,3,Porunga Dragon Ball Campaign,1,,,"{""battle_types"": [""quest""], ""energy_ball_counts_in_boss_battle"": [7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]}",,,,,,2019-11-17 00:00:00,2019-12-08 23:59:59,1
407,Mission::ClientSideMission,16,Porunga Dragon Ball Campaign,,10,3,Porunga Dragon Ball Campaign,1,,,"{""banner_img"": ""https://d3bb21colkb6no.cloudfront.net/images/home/myp_banner_plain_camp_20190701_polunga_B.png"", ""tap_banner"": 1}",,,,,,2019-11-18 00:00:00,2019-12-08 23:59:59,1
1001,Mission::CardTrainingMission::CountMission,1,Attempt Training.,,30046,1,"Characters gain EXP not only from battles 
but also from Training. 

So stop your slacking, and get Training from the 
""Team"" menu!",1,,,{},internal:CharacterTrainingScene,,,,,2015-04-01 15:00:00,2038-01-01 00:00:00,1
1002,Mission::CardAwakeningMission::CountMission,1,Attempt Awakening.,,30045,1,"Awakening characters unleashes their 
dormant powers, which in turn raises their stats. 

Collect Awakening Medals and tap into 
their hidden power!",1,,,{},internal:AwakenTopScene,,,,,2015-04-01 15:00:00,2038-01-01 00:00:00,1
1003,Mission::CardAwakeningMission::ZCountMission,1,Attempt Z-Awakening.,,30044,1,"Maxing out a character's Lv. and collecting 
all necessary Awakening Medals allow you 
to perform a Z-Awakening, raising their max level 
and powering up their Type. 
Perform a Z-Awakening!",1,,,{},internal:AwakenTopScene,,,,,2015-04-01 15:00:00,2038-01-01 00:00:00,1
1004,Mission::QuestClearMission::GetZeniMission,1,Clear a stage with 5000 Zeni acquired.,,30043,1,"You'll need Zeni to Train or Awaken characters. 

You can obtain Zeni on the map of each stage or 
by defeating enemies. 

Clear any stage with at least 5000 Zeni acquired!",5000,1.0,,"{""in_one_quest"": true}",,,,,,2015-04-01 15:00:00,2038-01-01 00:00:00,1
1005,Mission::QuestClearMission::GetSupportItemsMission,1,Acquire 50 Support Items.,,30042,1,"The blue Hoi-Poi Capsules that appear on the map 
give you Support Items. 

Acquire 50 or more Support Items from the stages!",50,,,{},,,,,,2015-04-01 15:00:00,2038-01-01 00:00:00,1
1006,Mission::QuestClearMission::GetTrainingItemsMission,1,Acquire 50 Training Items.,,30041,1,"The red Hoi-Poi Capsules that appear on the map 
give you Training Items or Training Locations. 

Acquire 50 or more Training Items from the stages! 

* Training Locations excluded.",50,,,{},,,,,,2015-04-01 15:00:00,2038-01-01 00:00:00,1
1007,Mission::QuestClearMission::GetAwakeningItemsMission,1,Acquire 50 Awakening Medals.,,30040,1,"The purple Hoi-Poi Capsules that appear 
on the map give you Awakening Medals. 

Acquire 50 or more Awakening Medals 
from the stages!",50,,,{},,,,,,2015-04-01 15:00:00,2038-01-01 00:00:00,1
1008,Mission::CardSellingMission::CountMission,1,Sell a character.,,30039,1,"You can sell characters in exchange for Zeni.

Try selling a character from the ""Team"" menu!",1,,,{},,,,,,2015-04-01 15:00:00,2038-01-01 00:00:00,1
1009,Mission::CardTrainingMission::UseTrainingItemMission,1,Use a Training Item.,,30038,1,"Using a Training Item when 
Training earns the character 
more EXP. 
Try using a Training Item if 
you're having trouble leveling up 
a character!",1,,,{},internal:CharacterTrainingScene,,,,,2015-04-01 15:00:00,2038-01-01 00:00:00,1
1010,Mission::CardTrainingMission::UseTrainingFieldMission,1,Use a Training Location.,,30037,1,"Training at any location other than Wasteland 
earns characters more EXP. 

The more Training Partners you use, the greater 
the location's effect!",1,,,{},internal:CharacterTrainingScene,,,,,2015-04-01 15:00:00,2038-01-01 00:00:00,1
1011,Mission::QuestAndZBattleClearMission::UseSupportItemsMission,1,Use a Recovery Drink.,,30036,1,"The simplest way to treat low HP is to use 
the Support Item ""Recovery Drink""! 

Use one in a ""Quest"" or ""Event""! 

* This mission will not be completed when you 
lose a battle or abandon a quest.",1,,,"{""support_item_ids"": [1]}",,,,,,2015-04-01 15:00:00,2038-01-01 00:00:00,1
1012,Mission::QuestAndZBattleClearMission::UseSupportItemsMission,1,Use a Super Recovery Drink.,,30035,1,"Use the Support Item ""Super Recovery Drink"" 
to restore 6000 HP. Well, it's better than losing! 

Use one in a ""Quest"" or ""Event""! 

* This mission will not be completed when you 
lose a battle or abandon a quest.",1,,,"{""support_item_ids"": [2]}",,,,,,2015-04-01 15:00:00,2038-01-01 00:00:00,1
1013,Mission::QuestAndZBattleClearMission::UseSupportItemsMission,1,Use Hercule.,,30034,1,"You can use the Support Item ""Hercule"" to gain 
one more Ki if you need a little more Ki to launch 
a Super Attack in battle. 

Use one in a ""Quest"" or ""Event""! 

* This mission will not be completed when you 
lose a battle or abandon a quest.",1,,,"{""support_item_ids"": [1201]}",,,,,,2015-04-01 15:00:00,2038-01-01 00:00:00,1
1014,Mission::QuestAndZBattleClearMission::UseSupportItemsMission,1,Use Cargo.,,30033,1,"The Support Item ""Cargo"" can restore 25% HP. 

Use one in a ""Quest"" or ""Event""! 

* This mission will not be completed when you 
lose a battle or abandon a quest.",1,,,"{""support_item_ids"": [1002]}",,,,,,2015-04-01 15:00:00,2038-01-01 00:00:00,1
1015,Mission::QuestAndZBattleClearMission::UseSupportItemsMission,1,Use a Ki Sphere color-changing item.,,30032,1,"The Support Items ""Oolong"" and ""Puar"" can 
change the color of Ki Spheres. 

Use one in a ""Quest"" or ""Event""! 

* This mission will not be completed when you 
lose a battle or abandon a quest.",1,,,"{""support_item_ids"": [1100, 1101, 1102, 1103, 1104]}",,,,,,2015-04-01 15:00:00,2038-01-01 00:00:00,1
1016,Mission::QuestAndZBattleClearMission::UseSupportItemsMission,1,"Use the World 
Tournament Announcer.",,30031,1,"The Support Item ""World Tournament Announcer"" 
can increase the ATK of a certain Type for 1 turn. 

Use one in a ""Quest"" or ""Event""! 

* This mission will not be completed when you 
lose a battle or abandon a quest.",1,,,"{""support_item_ids"": [1400, 1401, 1402, 1403, 1404]}",,,,,,2015-04-01 15:00:00,2038-01-01 00:00:00,1
1017,Mission::QuestAndZBattleClearMission::UseSupportItemsMission,1,Use Videl.,,30030,1,"The Support Item ""Videl"" can increase the DEF 
of a certain Type for 1 turn. 

Use one in a ""Quest"" or ""Event""! 

* This mission will not be completed when you 
lose a battle or abandon a quest.",1,,,"{""support_item_ids"": [1506, 1507, 1508, 1509, 1510]}",,,,,,2015-04-01 15:00:00,2038-01-01 00:00:00,1
1018,Mission::QuestAndZBattleClearMission::UseSupportItemsMission,1,Use Ranfan.,,30029,1,"The Support Item ""Ranfan"" can reduce 
all enemies' ATK. 

Use one in a ""Quest"" or ""Event""! 

* This mission will not be completed when 
you lose a battle or abandon a quest.",1,,,"{""support_item_ids"": [1603]}",,,,,,2015-04-01 15:00:00,2038-01-01 00:00:00,1
1019,Mission::LoginBonusAcceptMission::CountMission,1,Log in for 2 days in total.,,30028,1,Log in to the game for 2 days in total!,2,,,"{""login_bonus_id"": 2}",,,,,,2015-04-01 15:00:00,2038-01-01 00:00:00,1
1020,Mission::LoginBonusAcceptMission::ContinuousMission,1,Log in for 3 straight days.,,30027,1,"There are 2 kinds of login bonuses. 

Consecutive Login Bonuses are rewarded for 
consecutive daily logins. 

Log in for 3 straight days!",3,,,"{""login_bonus_id"": 1}",,,,,,2015-05-28 15:00:00,2038-01-01 00:00:00,1
1021,Mission::LoginBonusAcceptMission::ContinuousMission,1,Log in for 7 straight days.,,30023,1,"Mission rewards are instantly yours to use, 
but login bonuses get sent to your Gift Box. 

Don't forget to go collect them! 

Log in for 7 straight days!",7,,,"{""login_bonus_id"": 1}",,,,,,2015-05-28 15:00:00,2038-01-01 00:00:00,1
1022,Mission::LinkCodeCreateMission::CountMission,1,Create a Device Transfer Code.,,30022,1,"You never know when you'll 
need a Device Transfer Code. 
I bet it'll come in handy if you 
need to contact customer 
support! 
Create one by selecting 
""Device Transfer"" from the 
MENU.",1,,,{},,,,,,2015-04-01 15:00:00,2020-03-11 09:59:59,1
1023,Mission::QuestClearMission::GetDragonballsMission,1,Collect 3 Dragon Balls.,,30021,1,"Find all the Dragon Balls lying around the 
Quest map yet? 

Just tap a grayed-out one on the ""Shenron"" 
screen to learn its location. 

Let's see if you can find 3 to start with!",3,,,"{""dragonball_set_ids"": [1]}",,,,,,2015-04-01 15:00:00,2038-01-01 00:00:00,1
1024,Mission::QuestClearMission::GetDragonballsMission,1,Collect 7 Dragon Balls.,,30020,1,"You can't do anything with the Dragon Balls 
until you have all 7. 

Collect all 7 Dragon Balls!",7,,,"{""dragonball_set_ids"": [1]}",,,,,,2015-04-01 15:00:00,2038-01-01 00:00:00,1
1025,Mission::WishGrantedMission::CountMission,1,Have Shenron grant 1 wish.,,30019,1,"With all 7 Dragon Balls in your possession, 
you can have a wish granted. 

Summon Shenron from the ""Shenron"" screen.",1,,,{},,,,,,2015-04-01 15:00:00,2038-01-01 00:00:00,1
1026,Mission::QuestAndZBattleClearMission::CountMission,1,Use a team of all the same Type.,,30018,1,"Enemies from each stage of the event ""Battle 
for Awakening Medals"" are of a single Type. 
A team made up of characters of the same Type 
could be a powerful counter to such opponents. 

Build a team with characters of the same Type 
and try to clear one of the stages! 

* This mission will not be completed when 
you lose a battle or abandon a quest.",1,,,"{""single_element"": true}",,,,,,2015-04-01 15:00:00,2038-01-01 00:00:00,1
1027,Mission::BattleStartMission::UseActMission,1,Use 100 STA Points.,,30017,1,"1 STA is restored every 5 minutes. 

You can see how much time is left before the 
next STA is recovered at the top of the screen. 

Consume at least 100 STA!",100,,,{},,,,,,2015-04-01 15:00:00,2038-01-01 00:00:00,1
1028,Mission::BattleClearMission::UserRankMission,1,Reach Rank 10.,,30015,1,"Clearing a stage earns you Rank EXP, 
which raises your Rank. 

Your maximum STA will increase as 
your Rank is raised. 

Try to reach Rank 10!",10,,,{},,,,,,2015-04-01 15:00:00,2015-04-01 15:00:00,1
1029,Mission::QuestAndZBattleClearMission::CountMission,1,Clear “Training in the Clouds” once.,,30012,1,"Clear ""Training in the Clouds"" once.",1,,,"{""sugoroku_map_ids"": [1300011]}",,130.0,,,,2015-12-02 08:30:00,2022-12-11 23:59:59,1
1030,Mission::QuestAndZBattleClearMission::CountMission,1,Clear “Training in the Clouds” 3 times.,,30011,1,"Clear ""Training in the Clouds"" 3 times.",3,,,"{""sugoroku_map_ids"": [1300011]}",,130.0,,,,2015-12-02 08:30:00,2022-12-11 23:59:59,1
1031,Mission::QuestAndZBattleClearMission::CountMission,1,Clear “Training in the Clouds” 5 times.,,30010,1,"Clear ""Training in the Clouds"" 5 times.",5,,,"{""sugoroku_map_ids"": [1300011]}",,130.0,,,,2015-12-02 08:30:00,2022-12-11 23:59:59,1
1032,Mission::QuestAndZBattleClearMission::CountMission,1,Clear “Training in the Clouds” 7 times.,,30009,1,"Clear ""Training in the Clouds"" 7 times.",7,,,"{""sugoroku_map_ids"": [1300011]}",,130.0,,,,2015-12-02 08:30:00,2022-12-11 23:59:59,1
1033,Mission::QuestAndZBattleClearMission::CountMission,1,Clear “Training in the Clouds” 10 times.,,30008,1,"Clear ""Training in the Clouds"" 10 times.",10,,,"{""sugoroku_map_ids"": [1300011]}",,130.0,,,,2015-12-02 08:30:00,2022-12-11 23:59:59,1
1034,Mission::QuestAndZBattleClearMission::CountMission,1,Clear “Training in the Clouds” 15 times.,,30007,1,"Clear ""Training in the Clouds"" 15 times.",15,,,"{""sugoroku_map_ids"": [1300011]}",,130.0,,,,2015-12-02 08:30:00,2022-12-11 23:59:59,1
1035,Mission::QuestAndZBattleClearMission::CountMission,1,"Clear Stage 1 of “An Epic Showdown” 
on NORMAL.",,30014,1,"Clear Stage 1 of the event ""An Epic Showdown"" 
on NORMAL once.",1,,,"{""sugoroku_map_ids"": [4030010]}",,403.0,,,,2015-12-02 08:30:00,2038-01-01 00:00:00,1
