id,name,itemized_description
130,Berserker's Rage,"*When HP is 30% or less*
- ATK 2000{passiveImg:up_g}"
131,Cold Decision,"*When HP is 50% or more*
- DEF 1500{passiveImg:up_g}"
132,Abandonment,"*When receiving an attack*
- Chance of damage reduction rate 50%{passiveImg:up_g} within the turn"
133,Counterattack,"*After receiving an attack*
- ATK 2000{passiveImg:up_g} for 4 turn(s)"
134,Backup,"*Basic effect(s)*
- All allies' DEF 1000{passiveImg:up_g}"
135,Moment of Truth,"*When HP is 30% or less*
- All allies' DEF 50%{passiveImg:up_g}"
136,Warrior's Spirit,"*Basic effect(s)*
- Rare chance of sealing all enemies' Super Attacks"
137,Overwhelming Pressure,"*Basic effect(s)*
- Chance of all enemies' DEF 100%{passiveImg:down_y}"
138,Morale,"*Basic effect(s)*
- Ki +1"
139,Teamwork,"*When attacking*
- Enemies' DEF 50%{passiveImg:down_y}"
140,Teamwork,"*Basic effect(s)*
- Attacked enemy's ATK 10%{passiveImg:down_y} for 3 turn(s)"
141,Psychokinesis,"*Basic effect(s)*
- {passiveImg:once}Stuns all enemies"
142,Lucky Punch,"*Basic effect(s)*
- Rare chance of ATK 50%{passiveImg:up_g}"
143,Decision,"*When HP is 30% or less*
- ATK 40%{passiveImg:up_g}"
144,Conviction,"*When HP is 80% or less*
- Ki +3"
145,Super Power,"*Basic effect(s)*
- Rare chance of ATK 100%{passiveImg:up_g}"
146,Courage,"*Basic effect(s)*
- Rare chance of all allies' ATK 25%{passiveImg:up_g}"
147,Awakening,"*When HP is 50% or more*
- Ki +2"
148,Divine Protection,"*Basic effect(s)*
- All allies' DEF 25%{passiveImg:up_g}"
149,Quick Temper,"*When HP is 30% or less*
- ATK 2000{passiveImg:up_g}"
150,Prudence,"*Basic effect(s)*
- Rare chance of DEF 100%{passiveImg:up_g}"
151,Focus,"*When attacking with 8 or more Ki*
- ATK 25%{passiveImg:up_g}"
152,Mercenary's Might,"*Basic effect(s)*
- Rare chance of ATK 50%{passiveImg:up_g}"
153,Smile of Composure,"*When HP is 80% or less*
- ATK & DEF 25%{passiveImg:up_g}"
154,Guard Break,"*When attacking with 5 or more Ki*
- Disables the enemy's guard"
155,Stunning Speed,"*Basic effect(s)*
- TEQ & STR Type allies' Ki +1"
156,The Pinnacle of Power,"*Basic effect(s)*
- ATK 30%{passiveImg:up_g}"
157,Backup,"*Basic effect(s)*
- All allies' DEF 1000{passiveImg:up_g}"
158,No More Games,"*Basic effect(s)*
- Rare chance of ATK 100%{passiveImg:up_g}"
159,Charge,"*Basic effect(s)*
- INT Type allies' ATK 10%{passiveImg:up_g}"
160,Super Elite Strength,"*When attacking with 8 or more Ki*
- ATK 40%{passiveImg:up_g}"
161,Defensive Poise,"*Basic effect(s)*
- DEF 50%{passiveImg:up_g}"
162,Hidden Potential,"*Basic effect(s)*
- Rare chance of Ki +5"
163,Supersonic,"*When HP is 99% or less*
- Ki +3"
164,Courage,"*When HP is 50% or more*
- All allies' ATK 15%{passiveImg:up_g}"
165,No More Games,"*Basic effect(s)*
- Very rare chance of ATK 70%{passiveImg:up_g}"
166,First Attack,"*Basic effect(s)*
- ATK 50%{passiveImg:up_g}"
167,Warrior's Spirit,"*When attacking with 8 or more Ki*
- ATK 30%{passiveImg:up_g}"
168,Brick Wall,"*When HP is 50% or more*
- DEF 2000{passiveImg:up_g}"
169,Honed Technique,"*Basic effect(s)*
- TEQ Type allies' ATK 10%{passiveImg:up_g}"
170,Vengeful Power,"*When attacking with 7 or more Ki*
- ATK 32%{passiveImg:up_g}"
171,Against the Odds,"*When facing 2 or more enemies*
- ATK 40%{passiveImg:up_g}"
172,Hidden Potential,"*Basic effect(s)*
- Rare chance of ATK 100%{passiveImg:up_g}"
173,Force of Will,"*Basic effect(s)*
- Rare chance of ATK 50%{passiveImg:up_g}"
174,Instant Transmission,"*Basic effect(s)*
- Rare chance of Ki +5"
175,Warrior's Fighting Spirit,"*Basic effect(s)*
- Rare chance of ATK 50%{passiveImg:up_g}"
176,Perfect Body,"*Basic effect(s)*
- ATK & DEF 25%{passiveImg:up_g}"
177,Furious Awakening,"*Basic effect(s)*
- ATK 30%{passiveImg:up_g}"
178,Energy Absorption,"*After attacking with 6 or more Ki*
- Recovers 20% of damage dealt as HP"
180,Overconfidence,"*When HP is 50% or more*
- ATK & DEF 1000{passiveImg:up_g}"
181,Full Power,"*Basic effect(s)*
- ATK 20%{passiveImg:up_g}"
182,Naivety,"*Basic effect(s)*
- Ki +1 and ATK 500{passiveImg:up_g}"
183,Divine Strength,"*When attacking with 12 or more Ki*
- ATK 80%{passiveImg:up_g}"
184,Ultimate Power,"*When attacking with 12 or more Ki*
- ATK 80%{passiveImg:up_g}"
185,Supreme Evolution,"*Basic effect(s)*
- ATK 40%{passiveImg:up_g}"
186,Dignity in Destruction,"*Basic effect(s)*
- ATK 25%{passiveImg:up_g}"
187,Martial Arts Primer,"*Basic effect(s)*
- All allies' ATK & DEF 12%{passiveImg:up_g}"
188,Practice Makes Perfect,"*When attacking with 8 or more Ki*
- ATK 40%{passiveImg:up_g}"
189,Proof of Genius,"*When attacking with 8 or more Ki*
- ATK & DEF 30%{passiveImg:up_g}"
190,Nightmare,"*Basic effect(s)*
- High chance of all enemies' DEF 25%{passiveImg:down_y}"
191,Advanced Tactics,"*Basic effect(s)*
- Very rare chance of all allies' ATK & DEF 30%{passiveImg:up_g}"
192,On a Mission,"*Basic effect(s)*
- Ki +1"
193,Friendship,"*Basic effect(s)*
- Recovers 1500 HP at the start of turn"
195,Focus,"*When attacking with 8 or more Ki*
- ATK 25%{passiveImg:up_g}"
196,State of Oppression,"*Basic effect(s)*
- All enemies' ATK 10%{passiveImg:down_y}"
197,In the Zone,"*When HP is 80% or less*
- ATK & DEF 25%{passiveImg:up_g}"
198,Galactic Force,"*Basic effect(s)*
- Rare chance of stunning all enemies"
199,MAX Power,"*When attacking with 12 or more Ki*
- ATK 70%{passiveImg:up_g}"
200,Limit Break,"*Basic effect(s)*
- Super-rare chance of Ki +7 and ATK 2500{passiveImg:up_g}"
201,Primed for Battle,"*Basic effect(s)*
- ATK & DEF 15%{passiveImg:up_g}"
202,Focused Wrath,"*When HP is 50% or more*
- Ki +2"
203,Pro Fighter,"*When HP is 50% or more*
- ATK & DEF 1000{passiveImg:up_g}"
204,Undying Body,"*When HP is 30% or less at the start of turn*
- Recovers 25% HP"
205,Mystic Power,"*Basic effect(s)*
- ATK 25%{passiveImg:up_g}"
206,Sorcery,"*When HP is 50% or more*
- All allies' ATK 10%{passiveImg:up_g}"
207,Brattish Behavior,"*When HP is 30% or less*
- ATK 1500{passiveImg:up_g}"
208,Power Spike,"*Basic effect(s)*
- ATK 2000{passiveImg:up_g}"
209,Chosen Warrior,"*When HP is 50% or more*
- Ki +2"
210,Perfect Guard,"*After guard is activated*
- Damage reduction rate 30%{passiveImg:up_g}"
211,First Attack,"*Basic effect(s)*
- ATK 50%{passiveImg:up_g}"
213,Overwhelming Power,"*Basic effect(s)*
- ATK 2000{passiveImg:up_g}"
214,Hopeless Terror,"*Basic effect(s)*
- Medium chance of all enemies' ATK & DEF 30%{passiveImg:down_y}"
215,Smile of Composure,"*When HP is 80% or less*
- ATK & DEF 30%{passiveImg:up_g}"
216,Guard Break,"*When attacking*
- Disables the enemy's guard
- Enemies' DEF 50%{passiveImg:down_y}"
217,Stunning Speed,"*Basic effect(s)*
- TEQ & STR Type allies' Ki +2"
218,The Pinnacle of Power,"*Basic effect(s)*
- ATK 40%{passiveImg:up_g}"
219,Nightmare,"*Basic effect(s)*
- High chance of all enemies' DEF 50%{passiveImg:down_y}"
220,Vengeful Power,"*When attacking with 7 or more Ki*
- ATK 42%{passiveImg:up_g}"
221,Surge,"*Basic effect(s)*
- All allies' ATK 500{passiveImg:up_g}"
222,Perfect Form,"*Basic effect(s)*
- ATK & DEF 20%{passiveImg:up_g}"
223,Eternal Life,"*Basic effect(s)*
- Recovers 5% HP at the start of turn"
224,Inorganic Matter,"*When attacking with 5 or more Ki*
- Enemies' DEF 50%{passiveImg:down_y}"
225,Regality,"*When HP is 50% or less*
- Ki +3"
226,Developing Talent,"*When HP is 50% or more*
- Ki +2"
227,Latent Ability,"*Basic effect(s)*
- High chance of Ki +3"
228,Demon King's Alter Ego,"*Basic effect(s)*
- Rare chance of stunning all enemies"
229,Bouncing off the Walls,"*When facing 2 or more enemies*
- ATK 30%{passiveImg:up_g}"
230,Unshackled Power,"*Basic effect(s)*
- ATK 35%{passiveImg:up_g}"
231,Evil Mindset,"*When HP is 99% or less*
- ATK 2500{passiveImg:up_g}"
232,Strike of Willpower,"*When HP is 50% or more*
- Ki +2"
233,Space Piracy,"*When attacking*
- ATK 1500{passiveImg:up_g}"
234,Evil Emperor,"*Basic effect(s)*
- All enemies' ATK 8%{passiveImg:down_y}"
235,Evil Emperor,"*Basic effect(s)*
- All enemies' ATK 12%{passiveImg:down_y}"
236,Greatest Power,"*Basic effect(s)*
- TEQ & STR Type allies' Ki +2"
237,Powerful Transformation,"*When attacking with 5 or more Ki*
- ATK 50%{passiveImg:up_g}"
238,Overflowing Malice,"*When attacking with 12 or more Ki*
- ATK 50%{passiveImg:up_g}"
239,Brutal Blow,"*When attacking with 12 or more Ki*
- ATK 75%{passiveImg:up_g}"
240,Staggering Speed,"*Basic effect(s)*
- Recovers 5% HP at the start of turn"
241,Stunning Swordsmanship,"*Basic effect(s)*
- TEQ & STR Type allies' Ki +1"
242,"Gargantuan Body, Colossal Power","*Basic effect(s)*
- STR & PHY Type allies' ATK 10%{passiveImg:up_g}"
243,Barrier,"*Basic effect(s)*
- INT & STR Type allies' Ki +1"
244,Will to Succeed,"*Basic effect(s)*
- ATK 20%{passiveImg:up_g}"
245,Lightning Strike,"*Basic effect(s)*
- ATK 30%{passiveImg:up_g}"
246,Strength to Defend the Earth,"*Basic effect(s)*
- AGL & STR Type allies' Ki +2"
247,Full-Power Blitz,"*When HP is 80% or less*
- ATK & DEF 40%{passiveImg:up_g}"
248,Power to Surmount a God,"*When HP is 50% or more*
- Ki +2"
249,Abhorrent Android,"*When attacking with 8 or more Ki*
- ATK 40%{passiveImg:up_g}"
250,Parts Absorption,"*When attacking with 8 or more Ki*
- ATK 50%{passiveImg:up_g}"
251,Strongest from the West,"*When HP is 50% or more*
- All allies' ATK 10%{passiveImg:up_g}"
252,Warrior's Fighting Spirit,"*Basic effect(s)*
- Rare chance of ATK 50%{passiveImg:up_g}"
253,Warrior's Fighting Spirit,"*Basic effect(s)*
- Rare chance of ATK 50%{passiveImg:up_g}"
254,Instant Power Up,"*When HP is 50% or more*
- ATK 70%{passiveImg:up_g}"
255,Absorption,"*Basic effect(s)*
- Recovers 25% of damage dealt as HP"
256,Focus,"*When attacking with 5 or more Ki*
- ATK 25%{passiveImg:up_g}"
257,Charm,"*Basic effect(s)*
- AGL Type enemies' ATK 25%{passiveImg:down_y}"
258,Primed for Battle,"*Basic effect(s)*
- ATK & DEF 20%{passiveImg:up_g}"
259,Perfect Guard,"*After guard is activated*
- Damage reduction rate 30%{passiveImg:up_g}"
260,Deterrent,"*Basic effect(s)*
- STR Type enemies' ATK 20%{passiveImg:down_y}"
261,Seasoned Battle Skills,"*Basic effect(s)*
- TEQ & INT Type allies' Ki +1"
262,Transmigration,"*When HP is 80% or less*
- ATK & DEF 25%{passiveImg:up_g}"
263,God of Martial Arts,"*Basic effect(s)*
- ATK 1800{passiveImg:up_g}"
264,Immaculate Innocence,"*Basic effect(s)*
- Medium chance of stunning the attacked enemy"
265,Master's Teachings,"*When HP is 50% or more*
- All allies' Ki +2"
266,Deep Affection,"*Basic effect(s)*
- Recovers 2500 HP at the start of turn"
267,Awakening of a Super Warrior,"*When HP is 50% or more*
- All allies' ATK 15%{passiveImg:up_g}"
268,Limitless Strength,"*When attacking with 12 or more Ki*
- ATK & DEF 60%{passiveImg:up_g}"
269,Relentless Pursuit,"*Basic effect(s)*
- ATK & DEF 1000{passiveImg:up_g}"
270,Ultimate Transformation,"*Basic effect(s)*
- ATK & DEF 1500{passiveImg:up_g}"
271,Loyal to Cooler,"*Basic effect(s)*
- AGL & TEQ Type allies' Ki +1"
272,Unrivalled Fighting Skills,"*Basic effect(s)*
- TEQ & PHY Type allies' Ki +1"
273,Flexible Form,"*Basic effect(s)*
- AGL & PHY Type allies' Ki +1"
274,Persistent for Perfection,"*Basic effect(s)*
- ATK 40%{passiveImg:up_g}"
275,Power to Protect,"*When HP is 50% or more*
- ATK 1800{passiveImg:up_g}"
276,Fighting Instinct,"*When attacking with 12 or more Ki*
- ATK 70%{passiveImg:up_g}"
277,Evidence of Faith,"*When attacking with 5 or more Ki*
- ATK 30%{passiveImg:up_g}"
278,Able Reinforcements,"*Basic effect(s)*
- AGL & INT Type enemies' ATK 25%{passiveImg:down_y}"
279,Warrior and Scholar,"*When attacking with 5 or more Ki*
- ATK 25%{passiveImg:up_g}"
280,Captured Wisdom,"*Basic effect(s)*
- Recovers 25% of damage dealt as HP"
281,Fist of Justice,"*When HP is 50% or more*
- ATK 2500{passiveImg:up_g}"
282,Power of Love,"*Basic effect(s)*
- All allies' ATK 1000{passiveImg:up_g}"
283,Perfected Prowess,"*When HP is 50% or more*
- ATK 70%{passiveImg:up_g}"
284,Unadulterated Evil,"*Basic effect(s)*
- Recovers 10% HP at the start of turn"
285,Message from the Future,"*When HP is 50% or more*
- Ki +2"
286,Martial Mentality,"*When HP is 80% or less*
- ATK & DEF 30%{passiveImg:up_g}"
287,No Fear of Death,"*Basic effect(s)*
- All allies' ATK & DEF 10%{passiveImg:up_g}"
288,A God's Whimsy,"*Basic effect(s)*
- Chance of all allies' Ki +3"
289,Genius Inventor,"*Basic effect(s)*
- Recovers 1500 HP at the start of turn"
290,Show of Strength,"*When HP is 80% or more*
- Ki +1"
291,Assiduous Application,"*When HP is 80% or more*
- Ki +2"
292,Saiyan God,"*When attacking with 12 or more Ki*
- ATK 75%{passiveImg:up_g}"
293,A God's Fury,"*Basic effect(s)*
- High chance of ATK 150%{passiveImg:up_g}"
294,A New Adventure,"*Basic effect(s)*
- ATK 25%{passiveImg:up_g}"
295,Undefeatable Spirit,"*Basic effect(s)*
- AGL & STR Type allies' Ki +2"
296,Never-Ending Pursuit,"*Basic effect(s)*
- Chance of all enemies' ATK & DEF 20%{passiveImg:down_y}"
297,An Inquisitive Mind,"*Basic effect(s)*
- High chance of all allies' ATK 25%{passiveImg:up_g}"
298,Divine Combat,"*Basic effect(s)*
- STR & PHY Type allies' ATK 20%{passiveImg:up_g}"
299,Ample Experience,"*Basic effect(s)*
- Recovers 5% HP at the start of turn"
300,A Break from Farm Labor,"*Basic effect(s)*
- Recovers 3% HP at the start of turn"
301,God of Destruction's Companion,"*Basic effect(s)*
- High chance of stunning the attacked enemy"
302,Incredible Craft,"*Basic effect(s)*
- STR & PHY Type allies' ATK 15%{passiveImg:up_g}"
303,Sense for Battle,"*Basic effect(s)*
- ATK 25%{passiveImg:up_g}"
304,Starvin' Majin,"*Basic effect(s)*
- Recovers 15% of damage dealt as HP"
305,Master Roshi's Finest Disciple,"*Basic effect(s)*
- Ki +1"
306,Power of Tree of Might's Fruit,"*When HP is 50% or more*
- All allies' Ki +2"
307,High Speed Movement,"*As the 1st attacker in a turn*
- Ki +2"
308,Brash Overconfidence,"*Basic effect(s)*
- ATK 20%{passiveImg:up_g}"
309,Gigantic Warrior,"*Basic effect(s)*
- All allies' ATK & DEF 10%{passiveImg:up_g}"
310,Unpredictable Attack,"*When attacking*
- Disables the enemy's guard"
311,Twin Fighters,"*After guard is activated*
- Damage reduction rate 30%{passiveImg:up_g}"
312,Pressure,"*Basic effect(s)*
- All enemies' ATK 10%{passiveImg:down_y}"
313,Ki Concentration,"*For every Ki Sphere obtained*
- ATK 10%{passiveImg:up_g}"
314,The Wings of Light,"*Basic effect(s)*
- Recovers 5% HP at the start of turn"
315,Frenzied Saiyan,"*When attacking with 12 or more Ki*
- ATK 50%{passiveImg:up_g}"
316,Provocation,"*Basic effect(s)*
- ATK 20%{passiveImg:up_g}"
317,Meeting the Enemy,"*Basic effect(s)*
- ATK 40%{passiveImg:up_g}"
318,Sudden Flash,"*Basic effect(s)*
- TEQ & STR Type allies' Ki +2"
319,The Power of Majin,"*When HP is 80% or more*
- ATK & DEF 3000{passiveImg:up_g}"
320,The Toil of Battle,"*Basic effect(s)*
- TEQ & STR Type allies' Ki +1"
321,Accumulated Strength,"*Basic effect(s)*
- TEQ Type allies' ATK 15%{passiveImg:up_g}"
322,Young Ruffian,"*Basic effect(s)*
- Recovers 5% HP at the start of turn"
323,Perfect Guard,"*After guard is activated*
- Damage reduction rate 30%{passiveImg:up_g}"
324,A Good Run,"*When facing 3 or more enemies*
- ATK 70%{passiveImg:up_g}"
325,Martial Massacre,"*Basic effect(s)*
- All enemies' ATK 12%{passiveImg:down_y}"
326,Full Flowering Power,"*Basic effect(s)*
- TEQ & INT Type allies' Ki +2"
327,Demon from Hell,"*When attacking with 12 or more Ki*
- Ultra-rare chance of granting deadly power to attack"
328,Sharp Mind,"*Basic effect(s)*
- Rare chance of stunning all enemies"
329,The Great Robbery,"*Basic effect(s)*
- All allies' ATK 1000{passiveImg:up_g}"
330,Focused on Victory,"*Basic effect(s)*
- All allies' ATK & DEF 10%{passiveImg:up_g}"
331,5 Minutes of Change,"*Basic effect(s)*
- {passiveImg:once}Ki +5"
332,Standout Skills,"*Basic effect(s)*
- ATK 120%{passiveImg:up_g}"
333,Life Stealing,"*Basic effect(s)*
- Recovers 7% of damage dealt as HP"
334,Next-Level Power,"*After guard is activated*
- Damage reduction rate 30%{passiveImg:up_g}"
335,Quintuplets,"*Basic effect(s)*
- Rare chance of Ki +5"
336,Evil Beam Eyes,"*Basic effect(s)*
- Chance of stunning all enemies"
337,Raging Fury,"*Basic effect(s)*
- AGL & TEQ Type allies' Ki +2"
338,The Final Decision,"*When HP is 50% or more*
- All allies' Ki +2"
339,The Ultimate Fusion,"*Basic effect(s)*
- All allies' ATK 25%{passiveImg:up_g}"
340,Dominant Power,"*Basic effect(s)*
- STR & PHY Type allies' Ki +2"
341,The Fruits of Training,"*When attacking with 7 or more Ki*
- ATK 60%{passiveImg:up_g}"
342,Trap of Demon Realm,"*Basic effect(s)*
- Medium chance of stunning the attacked enemy"
343,For the Love of Freedom,"*For every Ki Sphere obtained*
- ATK 5%{passiveImg:up_g}"
344,Inherited Taste,"*Basic effect(s)*
- Rare chance of stunning all enemies"
345,Pinnacle of Anger,"*Basic effect(s)*
- Rare chance of ATK 150%{passiveImg:up_g}"
346,Rushing Rage,"*When attacking*
- DEF 100000{passiveImg:down_r}
- ATK 7000{passiveImg:up_g}"
347,Surging Fear,"*When attacking*
- DEF 100000{passiveImg:down_r}
- ATK 5000{passiveImg:up_g}"
348,Miraculous Strike,"*Basic effect(s)*
- Disables Rampage
*When HP is 80% or more*
- Ki +2
- ATK 2000{passiveImg:up_g}"
349,Resolute Strike,"*Basic effect(s)*
- Disables Rampage
*When attacking with 12 or more Ki*
- ATK 70%{passiveImg:up_g}"
350,Support Strike,"*Basic effect(s)*
- Changes Ki Spheres: PHY to Rainbow
- Disables Rampage"
351,Stubborn Strike,"*Basic effect(s)*
- Changes Ki Spheres: Rainbow to AGL
- Disables Rampage"
352,Hidden Vengeance,"*Basic effect(s)*
- Rare chance of stunning all enemies"
353,Awakening Spirit,"*When facing 3 or more enemies*
- Ki +3"
354,Deep Knowledge,"*Basic effect(s)*
- INT & STR Type allies' Ki +2"
355,Recurring Memory,"*Basic effect(s)*
- ATK 20%{passiveImg:up_g}"
356,Power of Hatred,"*Basic effect(s)*
- ATK 30%{passiveImg:up_g}"
357,Full of Hope,"*Basic effect(s)*
- All allies' ATK & DEF 10%{passiveImg:up_g}"
358,Immortal Body,"*Basic effect(s)*
- All allies' ATK & DEF 10%{passiveImg:up_g}"
359,Auto Regeneration,"*Basic effect(s)*
- Recovers 5% HP at the start of turn"
360,Teleport,"*When HP is 50% or more*
- All allies' Ki +1"
361,Lock-On,"*Basic effect(s)*
- Attacked enemy's ATK 20%{passiveImg:down_y}"
