id,name,exec_timing_type,efficacy_type,target_type,sub_target_type_set_id,passive_skill_effect_id,calc_option,turn,is_once,probability,causality_conditions,eff_value1,eff_value2,eff_value3,efficacy_values
54,Assassin,4,1,1,0,,0,1,0,100,"{""source"": ""33"", ""compiled"": 33}",1500,0,0,{}
55,Regenerative Power,1,4,1,0,,2,1,0,10,,5,0,0,{}
56,First Attack,3,5,1,0,,0,1,0,100,,1,0,0,{}
57,Warrior of Hope,4,1,1,0,,2,1,0,100,"{""source"": ""34"", ""compiled"": 34}",50,0,0,{}
58,The True Prince,5,1,3,0,,3,1,0,100,,25,0,0,{}
59,Adversity,4,1,1,0,,2,1,0,100,"{""source"": ""558"", ""compiled"": 558}",25,0,0,{}
60,Warrior Race,4,1,1,0,,2,1,0,100,"{""source"": ""35"", ""compiled"": 35}",30,0,0,{}
61,Overwhelming Power,1,1,1,0,,0,1,0,100,,1500,0,0,{}
62,Hopeless Terror,1,3,4,0,,3,1,0,10,,30,30,0,{}
63,Absorption,9,1,1,0,,0,99,0,100,"{""source"": ""13"", ""compiled"": 13}",2500,0,0,{}
64,Energy Absorption,5,28,1,0,,0,1,0,100,"{""source"": ""20"", ""compiled"": 20}",25,0,0,{}
65,Berserker's Rage,1,5,1,0,,0,1,0,100,"{""source"": ""15"", ""compiled"": 15}",5,0,0,{}
66,No More Games,1,5,1,0,,0,1,0,7,,2,0,0,{}
67,Earth's Strongest,1,1,1,0,,0,1,0,100,"{""source"": ""27"", ""compiled"": 27}",1500,0,0,{}
68,Regenerative Power,1,4,1,0,,2,1,0,100,"{""source"": ""17"", ""compiled"": 17}",12,0,0,{}
69,Ultimate Blow,1,5,1,0,,0,1,1,100,"{""source"": ""23"", ""compiled"": 23}",5,0,0,{}
70,Supernatural Power,1,16,4,0,,3,1,0,100,,0,25,0,{}
71,Special Squad Attack,1,5,2,0,,0,1,0,10,,2,0,0,{}
72,Desperation,1,1,4,0,,2,1,1,100,"{""source"": ""15"", ""compiled"": 15}",25,0,0,{}
73,Destruction Blow,4,1,1,0,,2,1,0,100,"{""source"": ""31"", ""compiled"": 31}",70,0,0,{}
74,Pride,1,18,2,0,,0,1,0,100,,0,500,500,{}
75,My Choice,3,48,3,0,,0,3,0,30,"{""source"": ""19"", ""compiled"": 19}",0,0,0,{}
77,Energy Absorption,5,28,1,0,,2,1,0,100,,15,0,0,{}
78,Limitless Power,1,5,1,0,,0,1,0,100,"{""source"": ""21"", ""compiled"": 21}",1,0,0,{}
79,Limitless Power,1,5,1,0,,0,1,0,100,"{""source"": ""21"", ""compiled"": 21}",2,0,0,{}
80,The Mission,1,1,1,0,,2,1,0,100,,50,0,0,{}
82,Assassin's 20th Anniversary,1,9,4,0,,0,1,0,7,,0,0,0,{}
83,Latent Power,3,1,1,0,,0,1,0,100,"{""source"": ""35"", ""compiled"": 35}",1500,0,0,{}
84,Enthusiasm,1,5,1,0,,0,1,0,100,,2,0,0,{}
85,Restraint,1,9,4,0,,0,1,0,7,,0,0,0,{}
86,Psychokinesis,4,24,3,0,,0,1,0,100,"{""source"": ""19"", ""compiled"": 19}",0,0,0,{}
87,Desert Wolf,4,2,3,0,,3,1,0,100,"{""source"": ""19"", ""compiled"": 19}",30,0,0,{}
88,First Attack,1,1,1,0,,2,1,0,100,,50,0,0,{}
89,Energy Absorption,5,28,1,0,,2,1,0,30,,25,0,0,{}
90,Energy Absorption,5,28,1,0,,2,1,0,30,,25,0,0,{}
91,Full Throttle,4,1,1,0,,0,1,0,100,"{""source"": ""19"", ""compiled"": 19}",1000,0,0,{}
93,God of Martial Arts,1,1,1,0,,0,1,0,100,,1200,0,0,{}
114,Pure Tenacity,4,1,1,0,,0,1,0,100,"{""source"": ""19"", ""compiled"": 19}",1200,0,0,{}
115,Overflowing Ki,1,5,1,0,,0,1,0,10,,2,0,0,{}
118,Adversity,1,1,1,0,,0,1,0,100,"{""source"": ""15"", ""compiled"": 15}",1500,0,0,{}
119,Lust for Victory,1,16,4,0,,3,1,0,100,,3,20,0,{}
120,Full Speed,1,5,1,0,,0,1,0,100,"{""source"": ""38"", ""compiled"": 38}",3,0,0,{}
122,Teamwork,4,1,1,0,,0,1,0,100,"{""source"": ""26"", ""compiled"": 26}",1000,0,0,{}
124,Proof of Effort,1,16,2,0,,0,1,0,100,,1,700,0,{}
125,Teamwork,4,1,1,0,,0,1,0,100,"{""source"": ""33"", ""compiled"": 33}",1000,0,0,{}
127,Champion's Pride,1,5,1,0,,0,1,0,100,,3,0,0,{}
128,Deep Affection,1,4,1,0,,0,1,0,10,,2000,0,0,{}
129,Secrets of the Crane School,1,1,4,0,,3,1,0,100,,10,0,0,{}
130,Berserker's Rage,1,1,1,0,,0,1,0,100,"{""source"": ""15"", ""compiled"": 15}",2000,0,0,{}
131,Cold Decision,1,2,1,0,,0,1,0,100,"{""source"": ""21"", ""compiled"": 21}",1500,0,0,{}
132,Abandonment,6,13,1,0,,2,1,0,10,,50,0,0,{}
133,Counterattack,7,1,1,0,,0,4,0,100,"{""source"": ""24"", ""compiled"": 24}",2000,0,0,{}
134,Backup,1,2,2,0,,0,1,0,100,,1000,0,0,{}
135,Moment of Truth,1,2,2,0,,2,1,0,100,"{""source"": ""15"", ""compiled"": 15}",50,0,0,{}
136,Warrior's Spirit,1,48,4,0,,0,1,0,7,,0,0,0,{}
137,Overwhelming Pressure,1,2,4,0,,3,1,0,10,,100,0,0,{}
138,Morale,1,5,1,0,,0,1,0,100,,1,0,0,{}
139,Teamwork,3,2,3,0,,3,1,0,100,,50,0,0,{}
140,Teamwork,4,1,3,0,,3,3,0,100,,10,0,0,{}
141,Psychokinesis,1,9,4,0,,0,1,1,100,,0,0,0,{}
142,Lucky Punch,1,1,1,0,,2,1,0,7,,50,0,0,{}
143,Decision,1,1,1,0,,2,1,0,100,"{""source"": ""15"", ""compiled"": 15}",40,0,0,{}
144,Conviction,1,5,1,0,,0,1,0,100,"{""source"": ""42"", ""compiled"": 42}",3,0,0,{}
145,Super Power,1,1,1,0,,2,1,0,7,,100,0,0,{}
146,Courage,1,1,2,0,,2,1,0,7,,25,0,0,{}
147,Awakening,1,5,1,0,,0,1,0,100,"{""source"": ""21"", ""compiled"": 21}",2,0,0,{}
148,Divine Protection,1,2,2,0,,2,1,0,100,,25,0,0,{}
149,Quick Temper,1,1,1,0,,0,1,0,100,"{""source"": ""15"", ""compiled"": 15}",2000,0,0,{}
150,Prudence,1,2,1,0,,2,1,0,7,,100,0,0,{}
151,Focus,4,1,1,0,,2,1,0,100,"{""source"": ""31"", ""compiled"": 31}",25,0,0,{}
152,Mercenary's Might,1,1,1,0,,2,1,0,7,,50,0,0,{}
153,Smile of Composure,1,3,1,0,,2,1,0,100,"{""source"": ""42"", ""compiled"": 42}",25,25,0,{}
154,Guard Break,4,24,3,0,,0,1,0,100,"{""source"": ""19"", ""compiled"": 19}",0,0,0,{}
155,Stunning Speed,1,20,2,0,,0,1,0,100,,1,1,0,{}
156,The Pinnacle of Power,1,1,1,0,,2,1,0,100,,30,0,0,{}
157,Backup,1,2,2,0,,0,1,0,100,,1000,0,0,{}
158,No More Games,1,1,1,0,,2,1,0,7,,100,0,0,{}
159,Charge,1,16,2,0,,2,1,0,100,,2,10,0,{}
160,Super Elite Strength,4,1,1,0,,2,1,0,100,"{""source"": ""31"", ""compiled"": 31}",40,0,0,{}
161,Defensive Poise,1,2,1,0,,2,1,0,100,,50,0,0,{}
162,Hidden Potential,1,5,1,0,,0,1,0,7,,5,0,0,{}
163,Supersonic,1,5,1,0,,0,1,0,100,"{""source"": ""43"", ""compiled"": 43}",3,0,0,{}
164,Courage,1,1,2,0,,2,1,0,100,"{""source"": ""21"", ""compiled"": 21}",15,0,0,{}
165,No More Games,1,1,1,0,,2,1,0,3,,70,0,0,{}
166,First Attack,1,1,1,0,,2,1,0,100,,50,0,0,{}
167,Warrior's Spirit,4,1,1,0,,2,1,0,100,"{""source"": ""44"", ""compiled"": 44}",30,0,0,{}
168,Brick Wall,1,2,1,0,,0,1,0,100,"{""source"": ""21"", ""compiled"": 21}",2000,0,0,{}
169,Honed Technique,1,16,2,0,,2,1,0,100,,1,10,0,{}
170,Vengeful Power,4,1,1,0,,2,1,0,100,"{""source"": ""45"", ""compiled"": 45}",32,0,0,{}
171,Against the Odds,1,1,1,0,,2,1,0,100,"{""source"": ""22"", ""compiled"": 22}",40,0,0,{}
172,Hidden Potential,1,1,1,0,,2,1,0,7,,100,0,0,{}
173,Force of Will,1,1,1,0,,2,1,0,7,,50,0,0,{}
174,Instant Transmission,1,5,1,0,,0,1,0,7,,5,0,0,{}
175,Warrior's Fighting Spirit,1,1,1,0,,2,1,0,7,,50,0,0,{}
176,Perfect Body,1,3,1,0,,2,1,0,100,,25,25,0,{}
177,Furious Awakening,1,1,1,0,,2,1,0,100,,30,0,0,{}
178,Energy Absorption,5,28,1,0,,2,1,0,100,"{""source"": ""35"", ""compiled"": 35}",20,0,0,{}
180,Overconfidence,1,1,1,0,,0,1,0,100,"{""source"": ""21"", ""compiled"": 21}",1000,0,0,{}
181,Full Power,1,1,1,0,,2,1,0,100,,20,0,0,{}
182,Naivety,1,5,1,0,,0,1,0,100,,1,0,0,{}
183,Divine Strength,4,1,1,0,,2,1,0,100,"{""source"": ""46"", ""compiled"": 46}",80,0,0,{}
184,Ultimate Power,4,1,1,0,,2,1,0,100,"{""source"": ""47"", ""compiled"": 47}",80,0,0,{}
185,Supreme Evolution,1,1,1,0,,2,1,0,100,,40,0,0,{}
186,Dignity in Destruction,1,1,1,0,,2,1,0,100,,25,0,0,{}
187,Martial Arts Primer,1,3,2,0,,2,1,0,100,,12,12,0,{}
188,Practice Makes Perfect,4,1,1,0,,2,1,0,100,"{""source"": ""20"", ""compiled"": 20}",40,0,0,{}
189,Proof of Genius,4,3,1,0,,2,1,0,100,"{""source"": ""31"", ""compiled"": 31}",30,30,0,{}
190,Nightmare,1,2,4,0,,3,1,0,50,,25,0,0,{}
191,Advanced Tactics,1,3,2,0,,2,1,0,3,,30,30,0,{}
192,On a Mission,1,5,1,0,,0,1,0,100,,1,0,0,{}
193,Friendship,1,4,1,0,,0,1,0,100,,1500,0,0,{}
195,Focus,4,1,1,0,,2,1,0,100,"{""source"": ""20"", ""compiled"": 20}",25,0,0,{}
196,State of Oppression,1,1,4,0,,3,1,0,100,,10,0,0,{}
197,In the Zone,1,3,1,0,,2,1,0,100,"{""source"": ""42"", ""compiled"": 42}",25,25,0,{}
198,Galactic Force,1,9,4,0,,0,1,0,7,,0,0,0,{}
199,MAX Power,4,1,1,0,,2,1,0,100,"{""source"": ""48"", ""compiled"": 48}",70,0,0,{}
200,Limit Break,1,5,1,0,,0,1,0,2,,7,0,0,{}
201,Primed for Battle,1,3,1,0,,2,1,0,100,,15,15,0,{}
202,Focused Wrath,1,5,1,0,,0,1,0,100,"{""source"": ""21"", ""compiled"": 21}",2,0,0,{}
203,Pro Fighter,1,3,1,0,,0,1,0,100,"{""source"": ""21"", ""compiled"": 21}",1000,1000,0,{}
204,Undying Body,1,4,1,0,,2,1,0,100,"{""source"": ""15"", ""compiled"": 15}",25,0,0,{}
205,Mystic Power,1,1,1,0,,2,1,0,100,,25,0,0,{}
206,Sorcery,1,1,2,0,,2,1,0,100,"{""source"": ""21"", ""compiled"": 21}",10,0,0,{}
207,Brattish Behavior,1,1,1,0,,0,1,0,100,"{""source"": ""15"", ""compiled"": 15}",1500,0,0,{}
208,Power Spike,1,1,1,0,,0,1,0,100,,2000,0,0,{}
209,Chosen Warrior,1,5,1,0,,0,1,0,100,"{""source"": ""21"", ""compiled"": 21}",2,0,0,{}
210,Perfect Guard,6,13,1,0,,3,1,0,100,"{""source"": ""29"", ""compiled"": 29}",70,0,0,{}
211,First Attack,1,1,1,0,,2,1,0,100,,50,0,0,{}
213,Overwhelming Power,1,1,1,0,,0,1,0,100,,2000,0,0,{}
214,Hopeless Terror,1,3,4,0,,3,1,0,30,,30,30,0,{}
215,Smile of Composure,1,3,1,0,,2,1,0,100,"{""source"": ""42"", ""compiled"": 42}",30,30,0,{}
216,Guard Break,4,24,3,0,,3,1,0,100,,0,0,0,{}
217,Stunning Speed,1,20,2,0,,0,1,0,100,,1,2,0,{}
218,The Pinnacle of Power,1,1,1,0,,2,1,0,100,,40,0,0,{}
219,Nightmare,1,2,4,0,,3,1,0,50,,50,0,0,{}
220,Vengeful Power,4,1,1,0,,2,1,0,100,"{""source"": ""45"", ""compiled"": 45}",42,0,0,{}
221,Surge,1,1,2,0,,0,1,0,100,,500,0,0,{}
222,Perfect Form,1,3,1,0,,2,1,0,100,,20,20,0,{}
223,Eternal Life,1,4,1,0,,2,1,0,100,,5,0,0,{}
224,Inorganic Matter,4,2,3,0,,3,1,0,100,"{""source"": ""19"", ""compiled"": 19}",50,0,0,{}
225,Regality,1,5,1,0,,0,1,0,100,"{""source"": ""27"", ""compiled"": 27}",3,0,0,{}
226,Developing Talent,1,5,1,0,,0,1,0,100,"{""source"": ""21"", ""compiled"": 21}",2,0,0,{}
227,Latent Ability,1,5,1,0,,0,1,0,50,,3,0,0,{}
228,Demon King's Alter Ego,1,9,4,0,,0,1,0,7,,0,0,0,{}
229,Bouncing off the Walls,1,1,1,0,,2,1,0,100,"{""source"": ""22"", ""compiled"": 22}",30,0,0,{}
230,Unshackled Power,1,1,1,0,,2,1,0,100,,35,0,0,{}
231,Evil Mindset,1,1,1,0,,0,1,0,100,"{""source"": ""43"", ""compiled"": 43}",2500,0,0,{}
232,Strike of Willpower,1,5,1,0,,0,1,0,100,"{""source"": ""21"", ""compiled"": 21}",2,0,0,{}
233,Space Piracy,4,1,1,0,,0,1,0,100,,1500,0,0,{}
234,Evil Emperor,1,1,4,0,,3,1,0,100,,8,0,0,{}
235,Evil Emperor,1,1,4,0,,3,1,0,100,,12,0,0,{}
236,Greatest Power,1,20,2,0,,0,1,0,100,,1,2,0,{}
237,Powerful Transformation,4,1,1,0,,2,1,0,100,"{""source"": ""19"", ""compiled"": 19}",50,0,0,{}
238,Overflowing Malice,4,1,1,0,,2,1,0,100,"{""source"": ""49"", ""compiled"": 49}",50,0,0,{}
239,Brutal Blow,4,1,1,0,,2,1,0,100,"{""source"": ""48"", ""compiled"": 48}",75,0,0,{}
240,Staggering Speed,1,4,1,0,,2,1,0,100,,5,0,0,{}
241,Stunning Swordsmanship,1,20,2,0,,0,1,0,100,,1,1,0,{}
242,"Gargantuan Body, Colossal Power",1,16,2,0,,2,1,0,100,,3,10,0,{}
243,Barrier,1,20,2,0,,0,1,0,100,,2,1,0,{}
244,Will to Succeed,1,1,1,0,,2,1,0,100,,20,0,0,{}
245,Lightning Strike,1,1,1,0,,2,1,0,100,,30,0,0,{}
246,Strength to Defend the Earth,1,20,2,0,,0,1,0,100,,0,2,0,{}
247,Full-Power Blitz,1,3,1,0,,2,1,0,100,"{""source"": ""42"", ""compiled"": 42}",40,40,0,{}
248,Power to Surmount a God,1,5,1,0,,0,1,0,100,"{""source"": ""21"", ""compiled"": 21}",2,0,0,{}
249,Abhorrent Android,4,1,1,0,,2,1,0,100,"{""source"": ""20"", ""compiled"": 20}",40,0,0,{}
250,Parts Absorption,4,1,1,0,,2,1,0,100,"{""source"": ""20"", ""compiled"": 20}",50,0,0,{}
251,Strongest from the West,1,1,2,0,,2,1,0,100,"{""source"": ""21"", ""compiled"": 21}",10,0,0,{}
252,Warrior's Fighting Spirit,1,1,1,0,,2,1,0,7,,50,0,0,{}
253,Warrior's Fighting Spirit,1,1,1,0,,2,1,0,7,,50,0,0,{}
254,Instant Power Up,1,1,1,0,,2,1,0,100,"{""source"": ""21"", ""compiled"": 21}",70,0,0,{}
255,Absorption,5,28,1,0,,2,1,0,100,,25,0,0,{}
256,Focus,4,1,1,0,,2,1,0,100,"{""source"": ""19"", ""compiled"": 19}",25,0,0,{}
257,Charm,1,16,4,0,,3,1,0,100,,0,25,0,{}
258,Primed for Battle,1,3,1,0,,2,1,0,100,,20,20,0,{}
259,Perfect Guard,6,13,1,0,,3,1,0,100,"{""source"": ""29"", ""compiled"": 29}",70,0,0,{}
260,Deterrent,1,16,4,0,,3,1,0,100,,3,20,0,{}
261,Seasoned Battle Skills,1,20,2,0,,0,1,0,100,,1,1,0,{}
262,Transmigration,1,3,1,0,,2,1,0,100,"{""source"": ""42"", ""compiled"": 42}",25,25,0,{}
263,God of Martial Arts,1,1,1,0,,0,1,0,100,,1800,0,0,{}
264,Immaculate Innocence,5,9,3,0,,0,1,0,30,,0,0,0,{}
265,Master's Teachings,1,5,2,0,,0,1,0,100,"{""source"": ""21"", ""compiled"": 21}",2,0,0,{}
266,Deep Affection,1,4,1,0,,0,1,0,100,,2500,0,0,{}
267,Awakening of a Super Warrior,1,1,2,0,,2,1,0,100,"{""source"": ""21"", ""compiled"": 21}",15,0,0,{}
268,Limitless Strength,4,3,1,0,,2,1,0,100,"{""source"": ""46"", ""compiled"": 46}",60,60,0,{}
269,Relentless Pursuit,1,1,1,0,,0,1,0,100,,1000,0,0,{}
270,Ultimate Transformation,1,1,1,0,,0,1,0,100,,1500,0,0,{}
271,Loyal to Cooler,1,20,2,0,,0,1,0,100,,0,1,0,{}
272,Unrivalled Fighting Skills,1,20,2,0,,0,1,0,100,,1,1,0,{}
273,Flexible Form,1,20,2,0,,0,1,0,100,,0,1,0,{}
274,Persistent for Perfection,1,1,1,0,,2,1,0,100,,40,0,0,{}
275,Power to Protect,1,1,1,0,,0,1,0,100,"{""source"": ""21"", ""compiled"": 21}",1800,0,0,{}
276,Fighting Instinct,4,1,1,0,,2,1,0,100,"{""source"": ""48"", ""compiled"": 48}",70,0,0,{}
277,Evidence of Faith,4,1,1,0,,2,1,0,100,"{""source"": ""19"", ""compiled"": 19}",30,0,0,{}
278,Able Reinforcements,1,16,4,0,,3,1,0,100,,0,25,0,{}
279,Warrior and Scholar,4,1,1,0,,2,1,0,100,"{""source"": ""19"", ""compiled"": 19}",25,0,0,{}
280,Captured Wisdom,5,28,1,0,,2,1,0,100,,25,0,0,{}
281,Fist of Justice,1,1,1,0,,0,1,0,100,"{""source"": ""21"", ""compiled"": 21}",2500,0,0,{}
282,Power of Love,1,1,2,0,,0,1,0,100,,1000,0,0,{}
283,Perfected Prowess,1,1,1,0,,2,1,0,100,"{""source"": ""21"", ""compiled"": 21}",70,0,0,{}
284,Unadulterated Evil,1,4,1,0,,2,1,0,100,,10,0,0,{}
285,Message from the Future,1,5,1,0,,0,1,0,100,"{""source"": ""21"", ""compiled"": 21}",2,0,0,{}
286,Martial Mentality,1,3,1,0,,2,1,0,100,"{""source"": ""42"", ""compiled"": 42}",30,30,0,{}
287,No Fear of Death,1,3,2,0,,2,1,0,100,,10,10,0,{}
288,A God's Whimsy,1,5,2,0,,0,1,0,10,,3,0,0,{}
289,Genius Inventor,1,4,1,0,,0,1,0,100,,1500,0,0,{}
290,Show of Strength,1,5,1,0,,0,1,0,100,"{""source"": ""50"", ""compiled"": 50}",1,0,0,{}
291,Assiduous Application,1,5,1,0,,0,1,0,100,"{""source"": ""50"", ""compiled"": 50}",2,0,0,{}
292,Saiyan God,4,1,1,0,,2,1,0,100,"{""source"": ""46"", ""compiled"": 46}",75,0,0,{}
293,A God's Fury,1,1,1,0,,2,1,0,50,,150,0,0,{}
294,A New Adventure,1,1,1,0,,2,1,0,100,,25,0,0,{}
295,Undefeatable Spirit,1,20,2,0,,0,1,0,100,,0,2,0,{}
296,Never-Ending Pursuit,1,3,4,0,,3,1,0,10,,20,20,0,{}
297,An Inquisitive Mind,1,3,2,0,,2,1,0,50,,25,0,0,{}
298,Divine Combat,1,16,2,0,,2,1,0,100,,3,20,0,{}
299,Ample Experience,1,4,1,0,,2,1,0,100,,5,0,0,{}
300,A Break from Farm Labor,1,4,1,0,,2,1,0,100,,3,0,0,{}
301,God of Destruction's Companion,5,9,3,0,,0,1,0,50,,0,0,0,{}
302,Incredible Craft,1,16,2,0,,2,1,0,100,,3,15,0,{}
303,Sense for Battle,1,1,1,0,,2,1,0,100,,25,0,0,{}
304,Starvin' Majin,5,28,1,0,,2,1,0,100,,15,0,0,{}
305,Master Roshi's Finest Disciple,1,5,1,0,,0,1,0,100,,1,0,0,{}
306,Power of Tree of Might's Fruit,1,5,2,0,,0,1,0,100,"{""source"": ""21"", ""compiled"": 21}",2,0,0,{}
307,High Speed Movement,3,5,1,0,,0,1,0,100,"{""source"": ""25"", ""compiled"": 25}",2,0,0,{}
308,Brash Overconfidence,1,1,1,0,,2,1,0,100,,20,0,0,{}
309,Gigantic Warrior,1,3,2,0,,2,1,0,100,,10,10,0,{}
310,Unpredictable Attack,4,24,3,0,,0,1,0,100,,0,0,0,{}
311,Twin Fighters,6,13,1,0,,3,1,0,100,"{""source"": ""29"", ""compiled"": 29}",70,0,0,{}
312,Pressure,1,1,4,0,,3,1,0,100,,10,0,0,{}
313,Ki Concentration,1,59,1,0,,2,1,0,100,,10,0,0,{}
314,The Wings of Light,1,4,1,0,,2,1,0,100,,5,0,0,{}
315,Frenzied Saiyan,4,1,1,0,,2,1,0,100,"{""source"": ""51"", ""compiled"": 51}",50,0,0,{}
316,Provocation,1,1,1,0,,2,1,0,100,,20,0,0,{}
317,Meeting the Enemy,1,1,1,0,,2,1,0,100,,40,0,0,{}
318,Sudden Flash,1,20,2,0,,0,1,0,100,,1,2,0,{}
319,The Power of Majin,1,3,1,0,,0,1,0,100,"{""source"": ""50"", ""compiled"": 50}",3000,3000,0,{}
320,The Toil of Battle,1,20,2,0,,0,1,0,100,,1,1,0,{}
321,Accumulated Strength,1,16,2,0,,2,1,0,100,,1,15,0,{}
322,Young Ruffian,1,4,1,0,,2,1,0,100,,5,0,0,{}
323,Perfect Guard,6,13,1,0,,3,1,0,100,"{""source"": ""29"", ""compiled"": 29}",70,0,0,{}
324,A Good Run,1,1,1,0,,2,1,0,100,"{""source"": ""18"", ""compiled"": 18}",70,0,0,{}
325,Martial Massacre,1,1,4,0,,3,1,0,100,,12,0,0,{}
326,Full Flowering Power,1,20,2,0,,0,1,0,100,,1,2,0,{}
327,Demon from Hell,4,1,1,0,,2,1,0,1,"{""source"": ""47"", ""compiled"": 47}",1000000,0,0,{}
328,Sharp Mind,1,9,4,0,,0,1,0,7,,0,0,0,{}
329,The Great Robbery,1,1,2,0,,0,1,0,100,,1000,0,0,{}
330,Focused on Victory,1,3,2,0,,2,1,0,100,,10,10,0,{}
331,5 Minutes of Change,1,5,1,0,,0,1,1,100,,5,0,0,{}
332,Standout Skills,1,1,1,0,,2,1,0,100,,120,0,0,{}
333,Life Stealing,5,28,1,0,,2,1,0,100,,7,0,0,{}
334,Next-Level Power,6,13,1,0,,3,1,0,100,"{""source"": ""29"", ""compiled"": 29}",70,0,0,{}
335,Quintuplets,1,5,1,0,,0,1,0,7,,5,0,0,{}
336,Evil Beam Eyes,1,9,4,0,,0,1,0,10,,0,0,0,{}
337,Raging Fury,1,20,2,0,,0,1,0,100,,0,2,0,{}
338,The Final Decision,1,5,2,0,,0,1,0,100,"{""source"": ""21"", ""compiled"": 21}",2,0,0,{}
339,The Ultimate Fusion,1,1,2,0,,2,1,0,100,,25,0,0,{}
340,Dominant Power,1,20,2,0,,0,1,0,100,,3,2,0,{}
341,The Fruits of Training,4,1,1,0,,2,1,0,100,"{""source"": ""52"", ""compiled"": 52}",60,0,0,{}
342,Trap of Demon Realm,5,9,3,0,,0,1,0,30,,0,0,0,{}
343,For the Love of Freedom,1,59,1,0,,2,1,0,100,,5,0,0,{}
344,Inherited Taste,1,9,4,0,,0,1,0,7,,0,0,0,{}
