id,origin_battle_round_id,play_timing,starter_card_id,starter_type,starter_bg_type,starter_playback_frame,starter_character_asset_id,starter_phrase_asset_id,starter_voice_asset_id,responder_card_id,responder_type,responder_bg_type,responder_playback_frame,responder_character_asset_id,responder_phrase_asset_id,responder_voice_asset_id,is_bg_reverse,is_character_asset_lwf,is_shown_on_lost
19,200103041,1,1032751,0,0,250,2001027,2001034,5038,9013001.0,1.0,1.0,300.0,2001028.0,2001035.0,5039.0,0,0,1
20,200103051,0,1032761,0,0,290,2001026,2001036,5040,9423731.0,1.0,1.0,400.0,2001029.0,2001037.0,5041.0,0,0,1
21,200103051,1,9423731,1,1,270,2001030,2001038,5042,1032761.0,0.0,0.0,230.0,2001031.0,2001039.0,5043.0,0,0,1
22,200103052,1,1032761,0,0,380,2001026,2001040,5044,9113051.0,1.0,1.0,440.0,2001032.0,2001041.0,5045.0,0,0,1
23,200104011,0,9323771,1,1,290,2001033,2001042,5046,1032761.0,0.0,0.0,130.0,2001034.0,2001043.0,5047.0,0,0,1
24,200104011,1,1032761,0,0,120,2001026,2001046,5049,9323771.0,1.0,1.0,140.0,2001037.0,2001047.0,5050.0,0,0,1
25,200104011,1,9323771,1,1,590,2001038,2001048,5051,,,,,,,,0,0,1
26,200104311,0,9200051,1,1,740,2001039,2001049,5052,1017471.0,0.0,0.0,130.0,2001040.0,2001050.0,5053.0,0,0,1
27,200104311,1,1017471,0,0,450,2001041,2001051,5054,9200051.0,1.0,1.0,350.0,2001042.0,2001052.0,5055.0,0,0,1
28,200103322,0,9222941,1,1,450,2001024,2001030,5033,1013011.0,0.0,0.0,270.0,2001025.0,2001031.0,5034.0,0,0,1
29,200104021,0,9001611,1,1,329,2001043,2001053,5057,1022941.0,0.0,0.0,105.0,2001044.0,2001054.0,5058.0,0,0,1
30,200104021,1,9001611,1,1,414,2001045,2001055,5059,,,,,,,,0,0,1
31,200104031,0,1023041,0,0,168,2001046,2001056,5060,9113021.0,1.0,1.0,265.0,2001047.0,2001057.0,5061.0,0,0,1
32,200104031,1,1023041,0,0,271,2001046,2001058,5062,9113021.0,1.0,1.0,215.0,2001047.0,2001059.0,5063.0,0,0,1
33,200104041,0,9323781,1,1,334,2001045,2001060,5064,1023041.0,0.0,0.0,169.0,2001046.0,2001061.0,5065.0,0,0,1
34,200104041,1,9323781,1,1,47,2001048,2001062,5066,1023041.0,0.0,0.0,484.0,2001049.0,2001063.0,5067.0,0,0,1
35,200104321,0,9223031,1,1,169,2001050,2001064,5065,1013101.0,0.0,0.0,267.0,2001051.0,2001065.0,5068.0,0,0,1
36,200105011,0,1023041,0,0,134,2001052,2001066,5070,9109361.0,1.0,1.0,480.0,2001039.0,2001067.0,5071.0,0,0,1
37,200105011,1,1023041,0,0,364,2001046,2001068,5073,9109361.0,1.0,1.0,303.0,2001053.0,2001069.0,5074.0,0,0,1
38,200105311,0,1009381,0,0,541,2001054,2001070,5075,9123021.0,1.0,1.0,256.0,2001055.0,2001071.0,5076.0,0,0,1
39,200105311,1,9123021,1,1,323,2001056,2001072,5077,1009381.0,0.0,0.0,464.0,2001057.0,2001073.0,5078.0,0,0,1
40,200105312,1,9022891,1,1,364,2001050,2001074,5073,1009381.0,0.0,0.0,434.0,2001058.0,2001075.0,5079.0,0,0,1
41,200105021,0,1022881,0,0,141,2001059,2001076,5080,9001521.0,1.0,1.0,565.0,2001060.0,2001077.0,5081.0,0,0,1
42,200105021,1,9001521,1,1,350,2001060,2001078,5082,,,,,,,,0,0,1
43,200105022,1,9101521,1,1,345,2001061,2001079,5083,,,,,,,,0,0,1
44,200105031,0,9201521,1,1,552,2001061,2001080,5084,1014681.0,0.0,0.0,150.0,2001062.0,2001081.0,5085.0,0,0,1
45,200105031,1,9201521,1,1,769,2001060,2001082,5086,1014681.0,0.0,0.0,191.0,2001063.0,2001083.0,5087.0,0,0,1
46,200105032,1,9317161,1,1,606,2001064,2001084,5088,,,,,,,,0,0,1
47,200105321,0,1017161,0,0,552,2001065,2001085,5084,9022441.0,1.0,1.0,204.0,2001066.0,2001086.0,5089.0,0,0,1
48,200105322,1,1017161,0,0,323,2001067,2001087,5091,9022441.0,1.0,1.0,147.0,2001068.0,2001088.0,5092.0,0,0,1
49,200106011,0,9122471,1,1,352,2001069,2001089,5093,1029701.0,0.0,0.0,126.0,2001070.0,2001090.0,5094.0,0,0,1
50,200106011,1,9122471,1,1,490,2001069,2001091,5095,,,,,,,,0,0,1
51,200106021,0,1023041,0,0,326,2001071,2001092,5096,9214851.0,1.0,1.0,369.0,2001072.0,2001093.0,5097.0,0,0,1
52,200106021,1,9214851,1,1,325,2001072,2001094,5098,1023041.0,0.0,0.0,353.0,2001059.0,2001095.0,5099.0,0,0,1
53,200106031,0,4023051,0,0,713,2001073,2001096,5100,9314381.0,1.0,1.0,113.0,2001072.0,2001097.0,5101.0,0,0,1
54,200106031,1,9314381,1,1,397,2001072,2001098,5102,4023051.0,0.0,0.0,234.0,2001074.0,2001099.0,5103.0,0,0,1
55,200106032,1,9114391,1,1,315,2001072,2001100,5107,4023051.0,0.0,0.0,76.0,2001074.0,2001101.0,5106.0,0,0,1
59,200107011,0,9114851,1,1,321,2001072,2001102,5105,1014371.0,0.0,0.0,76.0,2001074.0,2001147.0,5106.0,0,0,1
60,200107011,1,9114851,1,1,365,2001110,2001103,5108,,,,,,,,0,0,1
61,200107012,1,1014371,0,0,653,2001076,2001104,5109,,,,,,,,0,0,1
62,200107021,0,1017181,0,0,690,2001077,2001105,5110,9114851.0,1.0,1.0,348.0,2001078.0,2001106.0,5111.0,0,0,1
63,200107021,1,9114851,1,1,403,2001078,2001107,5112,,,,,,,,0,0,1
64,200107031,0,1032831,0,0,203,2001079,2001108,5113,9117211.0,1.0,1.0,201.0,2001080.0,2001109.0,5114.0,0,0,1
65,200107031,1,4032781,0,0,203,2001081,2001110,5115,9117211.0,1.0,1.0,201.0,2001080.0,2001111.0,5116.0,0,0,1
66,200107032,1,9120151,1,1,276,2001080,2001112,5117,,,,,,,,0,0,1
67,200107041,0,1032771,0,0,198,2001095,2001113,5118,9220151.0,1.0,1.0,155.0,2001082.0,2001114.0,5119.0,0,0,1
68,200107041,1,9220151,1,1,153,2001082,2001115,5120,4032781.0,0.0,0.0,613.0,2001083.0,2001116.0,5121.0,0,0,1
69,200107042,1,9314431,1,1,524,2001084,2001117,5122,4032781.0,0.0,0.0,82.0,2001085.0,2001118.0,5123.0,0,0,1
70,200107311,0,1014391,0,0,531,2001112,2001124,5126,9014361.0,1.0,1.0,600.0,2001091.0,2001125.0,5127.0,0,0,1
71,200107311,1,9014361,1,1,653,2001111,2001148,5109,,,,,,,,0,0,1
72,200107321,0,9032831,1,1,257,2001092,2001126,5113,1020151.0,0.0,0.0,228.0,2001093.0,2001127.0,5114.0,0,0,1
73,200107321,1,9032831,1,1,209,2001094,2001128,5128,,,,,,,,0,0,1
74,200108011,0,9217211,1,1,492,2001096,2001129,5140,1022631.0,0.0,0.0,200.0,2001095.0,2001130.0,5141.0,0,0,1
75,200108011,1,1022631,0,0,656,2001097,2001131,5142,9217211.0,1.0,1.0,342.0,2001098.0,2001132.0,5143.0,0,0,1
76,200108012,1,9303321,1,1,358,2001099,2001133,5144,1022631.0,0.0,0.0,161.0,2001100.0,2001134.0,5145.0,0,0,1
77,200108021,0,9122731,1,1,750,2001098,2001135,5146,1022631.0,0.0,0.0,693.0,2001101.0,2001136.0,5147.0,0,0,1
78,200108021,1,1022631,0,0,331,2001102,2001137,5148,9122731.0,1.0,1.0,457.0,2001098.0,2001138.0,5149.0,0,0,1
79,200108022,1,1022631,0,0,350,2001102,2001139,5150,9222741.0,1.0,1.0,374.0,2001103.0,2001140.0,5151.0,0,0,1
80,200108023,1,1022631,0,0,120,2001104,2001141,5173,,,,,,,,0,0,1
