id,sub_target_type_set_id,target_value_type,target_value
474,309,1,37
475,309,2,80
476,310,1,32
477,310,1,80
478,310,2,29
479,311,1,32
480,311,1,37
481,311,2,29
482,311,2,80
483,312,2,30
484,312,1,71
485,313,1,30
486,313,1,17
487,314,2,30
488,314,1,71
489,314,1,17
490,315,2,61
491,315,1,20
492,316,1,61
493,316,1,42
494,317,2,61
495,317,1,20
496,317,1,42
497,318,2,61
498,318,1,60
499,319,2,61
500,319,1,60
501,319,1,42
502,320,2,42
503,320,1,26
504,321,2,42
505,321,1,26
506,321,1,61
507,322,1,89
508,323,2,89
509,324,2,89
510,324,1,86
511,325,1,89
512,325,1,51
513,326,1,89
514,326,1,65
515,327,2,89
516,327,1,86
517,327,1,51
518,328,2,89
519,328,1,86
520,328,1,65
521,329,1,88
522,330,1,5
523,330,2,88
524,331,1,88
525,331,1,87
526,332,1,5
527,332,1,87
528,332,2,88
529,333,1,58
530,333,2,88
531,334,1,88
532,334,1,40
533,335,1,58
534,335,1,40
535,335,2,88
536,326,2,51
537,328,2,51
538,336,1,88
539,336,1,40
540,336,2,87
541,337,1,88
542,337,1,29
543,337,2,87
544,338,1,5
545,338,1,29
546,338,2,88
547,338,2,87
548,339,1,88
549,339,1,29
550,339,2,40
551,340,1,58
552,340,1,29
553,340,2,88
554,340,2,40
555,341,1,77
556,342,1,90
557,343,2,90
558,343,1,46
559,344,1,90
560,344,1,63
561,345,1,90
562,345,2,63
563,345,1,9
564,346,2,90
565,346,1,46
566,346,1,63
567,347,2,90
568,347,1,46
569,347,2,63
570,347,1,9
571,348,2,90
572,348,1,83
573,349,1,90
574,349,1,46
575,350,1,90
576,350,2,46
577,350,1,2
578,351,2,90
579,351,1,83
580,351,1,46
581,352,2,90
582,352,1,83
583,352,2,46
584,352,1,2
585,353,1,17
586,353,1,90
587,354,1,17
588,354,2,90
589,354,1,47
590,355,2,17
591,355,1,5
592,355,1,90
593,356,2,17
594,356,1,5
595,356,2,90
596,356,1,47
597,357,2,28
598,357,1,43
599,358,1,28
600,358,1,21
601,359,2,28
602,359,1,43
603,359,1,21
605,361,2,9
606,361,1,74
607,362,1,27
608,363,2,27
609,363,1,23
610,364,1,27
611,364,1,6
612,365,1,27
613,365,2,6
614,365,1,20
615,366,2,27
616,366,1,23
617,366,1,6
618,366,2,20
619,367,1,23
620,367,2,27
621,367,1,20
622,368,1,27
623,369,2,27
624,369,1,23
625,370,1,27
626,370,1,6
627,371,1,27
628,371,2,6
629,371,1,20
630,372,2,27
631,372,1,23
632,372,1,6
633,372,2,20
634,373,1,23
635,373,2,27
636,373,1,20
637,374,1,23
638,374,1,6
639,375,2,68
640,375,1,41
641,376,2,68
642,376,2,41
643,376,1,13
644,377,1,68
645,377,1,83
646,378,1,68
647,378,2,83
648,378,1,3
649,379,2,68
650,379,1,41
651,379,1,83
652,380,2,68
653,380,1,41
654,380,2,83
655,380,1,3
656,381,2,68
657,381,2,41
658,381,1,13
659,381,1,83
660,382,2,68
661,382,2,41
662,382,1,13
663,382,2,83
664,382,1,3
665,383,2,37
666,383,1,3
667,384,2,39
668,384,1,3
669,385,2,89
670,385,1,67
671,386,1,89
672,386,1,83
673,387,1,89
674,387,2,83
675,387,1,3
676,388,2,89
677,388,1,67
678,388,1,83
679,389,2,89
680,389,1,67
681,389,2,83
682,389,1,3
683,390,2,25
684,390,1,34
685,391,1,17
686,391,2,62
687,392,1,17
688,392,1,69
689,393,1,17
690,393,2,69
691,393,1,11
692,394,2,17
693,394,1,62
694,394,1,69
695,395,2,17
696,395,1,62
697,395,2,69
698,395,1,11
699,396,1,69
700,396,1,62
701,397,1,17
702,397,2,51
703,398,2,29
704,398,1,46
705,399,1,47
707,400,1,8
708,400,2,47
709,401,2,48
710,401,1,50
711,402,2,72
712,402,1,20
713,403,1,72
714,403,1,17
715,404,1,72
716,404,2,17
717,404,1,5
718,405,2,72
719,405,1,20
720,405,1,17
721,406,2,72
722,406,1,20
723,406,2,17
724,406,1,5
725,407,1,83
726,408,1,19
727,408,2,83
728,409,1,84
729,409,2,83
730,409,2,19
731,410,1,83
732,410,1,8
733,411,1,83
734,411,1,26
735,411,2,8
736,412,1,19
737,412,1,8
738,412,2,83
739,413,1,19
740,413,1,26
741,413,2,83
742,413,2,8
743,414,1,84
744,414,1,8
745,414,2,83
746,414,2,19
747,415,1,84
748,415,1,26
749,415,2,83
750,415,2,19
751,415,2,8
752,416,2,83
753,416,2,19
754,416,2,84
755,417,1,8
756,418,1,82
757,418,2,8
758,419,1,85
759,419,2,8
760,419,2,82
761,420,1,8
762,420,1,26
763,421,1,8
764,421,1,46
765,421,2,26
766,422,1,82
767,422,1,26
768,422,2,8
769,423,1,82
770,423,1,46
771,423,2,8
772,423,2,26
773,424,1,85
774,424,1,26
775,424,2,8
776,424,2,82
777,425,1,85
778,425,1,46
779,425,2,8
780,425,2,82
781,425,2,26
782,426,2,8
783,426,2,82
784,426,2,85
785,427,1,63
786,428,1,19
787,428,2,63
788,429,1,10
789,430,1,19
790,430,2,10
791,431,2,76
792,431,1,38
793,432,1,76
794,432,1,54
795,433,1,76
796,433,2,54
797,433,1,89
798,434,2,76
799,434,1,38
800,434,1,54
801,435,2,76
802,435,1,38
803,435,2,54
804,435,1,89
805,436,2,74
806,436,1,76
807,437,1,51
808,437,2,21
809,438,2,89
810,438,1,68
811,439,4,28
812,440,4,29
813,440,5,28
814,441,1,31
815,441,2,87
816,442,4,12
817,443,4,26
818,443,5,12
819,444,1,91
820,445,2,91
821,445,1,35
822,446,1,91
823,446,1,22
824,447,1,91
825,447,1,28
826,447,2,22
827,448,1,35
828,448,1,22
829,448,2,91
830,463,1,35
831,463,1,28
832,463,2,22
833,463,2,91
834,449,2,52
835,449,1,90
836,450,1,35
837,450,2,22
838,451,1,22
839,452,2,42
840,452,1,60
841,453,2,42
842,453,2,60
843,453,1,85
844,454,2,42
845,454,1,60
846,454,1,61
847,455,2,42
848,455,2,60
849,455,1,85
850,455,1,61
851,456,2,42
852,456,1,12
853,457,2,42
854,457,2,12
855,457,1,23
856,458,2,42
857,458,1,12
858,458,1,61
859,459,2,42
860,459,2,12
861,459,1,23
862,459,1,61
863,460,2,40
864,460,1,86
865,461,1,40
866,461,1,89
867,462,2,40
868,462,1,86
869,462,1,89
870,464,2,21
871,464,1,59
872,465,2,21
873,465,1,53
874,466,2,21
875,466,2,53
876,466,1,4
877,467,1,21
878,467,1,59
879,468,1,21
880,468,2,59
881,468,1,23
882,469,1,21
883,469,2,59
884,469,2,23
885,469,1,61
886,470,2,21
887,470,1,53
888,470,1,59
889,471,2,21
890,471,1,53
891,471,2,59
892,471,1,23
893,472,2,21
894,472,1,53
895,472,2,59
896,472,2,23
897,472,1,61
898,473,2,21
899,473,2,53
900,473,1,4
901,473,1,59
902,474,2,21
903,474,2,53
904,474,1,4
905,474,2,59
906,474,1,23
907,475,2,21
908,475,2,53
909,475,1,4
910,475,2,59
911,475,2,23
912,475,1,61
913,476,1,21
914,476,1,61
915,477,1,41
916,477,2,24
917,478,2,78
918,478,1,48
919,479,2,78
920,479,2,48
921,479,1,73
923,481,1,71
924,482,1,29
925,482,1,12
926,483,1,29
927,483,2,12
928,483,1,39
929,484,2,29
930,484,1,46
931,484,1,12
932,485,2,29
933,485,1,46
934,485,2,12
935,485,1,39
936,486,2,16
937,486,1,7
938,487,1,16
939,487,1,77
940,488,1,16
941,488,2,77
942,488,1,23
943,489,2,16
944,489,1,7
945,489,1,77
946,490,2,16
947,490,1,7
948,490,2,77
949,490,1,23
950,491,1,92
951,492,2,92
952,493,1,64
953,493,2,92
954,494,1,92
955,494,1,8
956,495,1,92
957,495,1,80
958,495,2,8
959,496,1,92
960,496,1,47
961,496,2,8
962,496,2,80
963,497,1,64
964,497,1,8
965,497,2,92
966,498,1,64
967,498,1,80
968,498,2,92
969,498,2,8
970,499,1,64
971,499,1,47
972,499,2,92
973,499,2,8
974,499,2,80
975,500,1,68
976,500,2,92
977,501,2,92
978,501,1,23
979,502,2,92
980,502,2,23
981,502,1,20
982,503,1,92
983,503,1,47
984,504,1,92
985,504,2,47
986,504,1,16
987,505,2,92
988,505,1,23
989,505,1,47
990,506,2,92
991,506,1,23
992,506,2,47
993,506,1,16
994,507,2,92
995,507,2,23
996,507,1,20
997,507,1,47
998,508,2,92
999,508,2,23
1000,508,1,20
1001,508,2,47
1002,508,1,16
1003,509,2,88
1004,509,1,40
1005,510,2,88
1006,510,2,40
1007,510,1,66
1008,511,1,88
1009,511,1,81
1010,512,1,88
1011,512,2,81
1012,512,1,29
1013,513,2,88
1014,513,1,40
1015,513,1,81
1016,514,2,88
1017,514,1,40
1018,514,2,81
1019,514,1,29
1020,515,2,88
1021,515,2,40
1022,515,1,66
1023,515,1,81
1024,516,2,88
1025,516,2,40
1026,516,1,66
1027,516,2,81
1028,516,1,29
1029,517,2,28
1030,517,1,58
1031,518,2,88
1032,518,1,28
1033,519,2,88
1034,519,2,28
1035,519,1,70
1036,520,1,92
1037,520,2,16
1038,521,2,69
1039,521,1,62
1040,522,1,69
1041,522,1,50
1042,523,1,69
1043,523,2,50
1044,523,1,41
1045,524,2,69
1046,524,1,62
1047,524,1,50
1048,525,2,69
1049,525,1,62
1050,525,2,50
1051,525,1,41
1052,526,2,31
1053,526,1,36
1054,527,1,31
1055,527,1,17
1056,528,2,17
1057,528,1,31
1058,528,1,58
1059,529,2,17
1060,529,2,58
1061,529,1,31
1062,529,1,76
1063,530,2,31
1064,530,1,36
1065,530,1,17
1066,531,2,31
1067,531,2,17
1068,531,1,36
1069,531,1,58
1070,532,2,31
1071,532,2,17
1072,532,2,58
1073,532,1,36
1074,532,1,76
1075,533,2,52
1076,533,1,91
1077,534,1,52
1078,534,1,70
1079,535,1,52
1080,535,2,70
1081,535,1,62
1082,536,1,52
1083,536,2,70
1084,536,2,62
1085,536,1,46
1086,537,2,52
1087,537,1,91
1088,537,1,70
1089,538,2,52
1090,538,1,91
1091,538,2,70
1092,538,1,62
1093,539,2,52
1094,539,1,91
1095,539,2,70
1096,539,2,62
1097,539,1,46
1098,540,2,33
1099,540,1,21
1100,541,2,9
1101,541,1,44
1102,542,2,9
1103,542,2,44
1104,542,1,80
1105,543,1,9
1106,543,1,39
1107,544,1,9
1108,544,2,39
1109,544,1,75
1110,545,2,9
1111,545,1,44
1112,545,1,39
1113,546,2,9
1114,546,1,44
1115,546,2,39
1116,546,1,75
1117,547,2,9
1118,547,2,44
1119,547,1,80
1120,547,1,39
1121,548,2,9
1122,548,2,44
1123,548,1,80
1124,548,2,39
1125,548,1,75
1126,549,2,9
1127,549,1,78
1128,550,2,9
1129,550,2,78
1130,550,1,71
1131,551,1,9
1132,551,1,82
1133,552,1,9
1134,552,2,82
1135,552,1,7
1136,553,2,9
1137,553,1,78
1138,553,1,82
1139,554,2,9
1140,554,1,78
1141,554,2,82
1142,554,1,7
1143,555,2,9
1144,555,2,78
1145,555,1,71
1146,555,1,82
1147,556,2,9
1148,556,2,78
1149,556,1,71
1150,556,2,82
1151,556,1,7
1152,557,2,15
1153,557,1,52
1154,558,2,9
1155,558,1,57
1156,559,2,40
1157,559,1,28
1158,560,1,44
1159,560,2,16
1160,561,2,32
1161,561,1,91
1162,562,2,32
1163,562,1,92
1164,563,1,91
1165,563,2,70
1166,564,2,6
1167,564,1,8
1168,565,2,6
1169,565,2,8
1170,565,1,81
1171,566,1,6
1172,566,1,22
1173,567,1,6
1174,567,2,22
1175,567,1,80
1176,568,2,6
1177,568,1,8
1178,568,1,22
1179,569,2,6
1180,569,1,8
1181,569,2,22
1182,569,1,80
1183,570,2,6
1184,570,2,8
1185,570,1,81
1186,570,1,22
1187,571,2,6
1188,571,2,8
1189,571,1,81
1190,571,2,22
1191,571,1,80
1192,572,1,6
1193,572,2,22
1194,572,2,80
1195,572,1,67
1196,573,2,6
1197,573,1,8
1198,573,2,22
1199,573,2,80
1200,573,1,67
1201,574,2,6
1202,574,2,8
1203,574,1,81
1204,574,2,22
1205,574,2,80
1206,574,1,67
1207,575,1,6
1208,575,1,91
1209,576,4,87
1210,577,2,44
1211,577,1,75
1212,578,2,4
1213,578,1,65
1214,579,2,4
1215,579,2,65
1216,579,1,34
1217,580,2,4
1218,580,1,65
1219,580,1,40
1220,581,2,4
1221,581,2,65
1222,581,1,34
1223,581,1,40
1224,582,2,4
1225,582,1,65
1226,582,2,40
1227,582,1,39
1228,583,2,4
1229,583,2,65
1230,583,1,34
1231,583,2,40
1232,583,1,39
1233,584,2,34
1234,584,1,89
1235,585,2,34
1236,585,2,89
1237,585,1,4
1238,586,4,51
1239,587,4,34
1240,587,5,51
1241,588,4,89
1242,589,1,25
1243,589,2,34
1244,590,1,34
1245,590,1,40
1246,591,1,25
1247,591,1,40
1248,591,2,34
1249,592,1,69
1250,592,2,41
1251,593,2,55
1252,593,1,36
1253,594,2,55
1254,594,2,36
1255,594,1,90
1256,595,1,55
1257,595,1,29
1258,596,2,55
1259,596,1,36
1260,596,1,29
1261,597,2,55
1262,597,2,36
1263,597,1,90
1264,597,1,29
1265,598,1,55
1266,598,2,29
1267,598,1,63
1268,599,2,55
1269,599,1,36
1270,599,2,29
1271,599,1,63
1272,600,2,55
1273,600,2,36
1274,600,1,90
1275,600,2,29
1276,600,1,63
1277,601,2,37
1278,601,1,40
1279,602,2,55
1280,602,1,29
1281,603,1,94
1282,604,2,94
1283,604,1,48
1284,605,2,94
1285,605,2,48
1286,605,1,69
1287,606,1,94
1288,606,1,16
1289,607,2,94
1290,607,1,48
1291,607,1,16
1292,608,2,94
1293,608,2,48
1294,608,1,69
1295,608,1,16
1296,609,1,94
1297,609,2,16
1298,609,1,23
1299,610,2,94
1300,610,1,48
1301,610,2,16
1302,610,1,23
1303,611,2,94
1304,611,2,48
1305,611,2,16
1306,611,1,69
1307,611,1,23
1308,612,1,94
1309,612,2,16
1310,612,2,23
1311,612,1,17
1315,614,2,94
1316,614,1,48
1317,614,2,16
1318,614,2,23
1319,614,1,17
1320,615,2,94
1321,615,2,48
1322,615,1,69
1323,615,2,16
1324,615,2,23
1325,615,1,17
1326,616,2,25
1327,616,1,89
1328,617,1,94
1329,618,2,16
1330,618,1,48
1331,619,4,98
1332,620,1,87
1333,620,1,31
1334,621,2,14
1335,621,1,40
1336,622,1,34
1337,622,4,2
1338,623,2,14
1339,623,1,68
1340,624,2,14
1341,624,2,68
1342,624,1,50
1343,625,1,14
1344,625,1,25
1345,626,2,14
1346,626,1,68
1347,626,1,25
1348,627,2,14
1349,627,2,68
1350,627,1,50
1351,627,1,25
1352,628,1,14
1353,628,2,25
1354,628,1,17
1355,629,2,14
1356,629,1,68
1357,629,2,25
1358,629,1,17
1359,630,2,14
1360,630,2,68
1361,630,1,50
1362,630,2,25
1363,630,1,17
1364,631,4,69
1365,632,1,70
1366,632,2,9
1367,633,2,42
1368,633,1,39
1369,634,2,42
1370,634,2,39
1371,634,1,84
1372,635,2,42
1373,635,1,39
1374,635,1,61
1375,636,2,42
1376,636,2,39
1377,636,1,84
1378,636,1,61
1379,637,1,93
1380,719,2,33
1381,719,2,34
1382,719,1,25
1400,645,2,93
1401,645,1,28
1402,646,1,68
1403,646,2,64
1417,650,1,9
1418,651,1,10
1419,651,2,9
1420,652,1,9
1421,652,1,8
1422,653,1,10
1423,653,1,8
1424,653,2,9
1425,654,2,59
1426,654,1,23
1427,655,1,59
1428,655,1,32
1429,656,1,9
1430,657,1,23
1431,657,1,32
1432,657,2,59
1433,658,1,59
1434,658,1,94
1435,658,2,32
1436,659,1,23
1437,659,1,94
1438,659,2,59
1439,659,2,32
1440,660,1,50
1441,660,2,62
1446,663,1,93
1447,664,2,93
1448,664,1,50
1449,665,2,93
1450,665,2,50
1451,665,1,16
1452,666,1,93
1453,666,1,41
1454,667,2,93
1455,667,1,50
1456,667,1,41
1457,668,2,93
1458,668,2,50
1459,668,1,16
1460,668,1,41
1461,669,1,93
1462,669,2,41
1463,669,1,62
1464,670,2,93
1465,670,1,50
1466,670,2,41
1467,670,1,62
1468,671,2,93
1469,671,2,50
1470,671,2,41
1471,671,1,16
1472,671,1,62
1473,672,1,68
1474,673,1,35
1475,673,2,68
1481,676,1,84
1482,677,1,96
1487,679,1,95
1488,680,1,96
1489,681,1,85
1490,681,2,95
1491,682,1,17
1492,682,2,95
1493,682,2,85
1494,683,1,95
1495,683,1,89
1496,684,1,95
1497,684,1,10
1498,684,2,89
1499,685,1,85
1500,685,1,89
1501,685,2,95
1502,686,1,85
1503,686,1,10
1504,686,2,95
1505,686,2,89
1506,687,1,17
1507,687,1,89
1508,687,2,95
1509,687,2,85
1510,688,1,17
1511,688,1,10
1512,688,2,95
1513,688,2,85
1514,688,2,89
1515,689,1,60
1516,690,2,23
1517,690,1,25
1518,691,1,23
1519,691,1,17
1520,692,1,25
1521,692,1,17
1522,692,2,23
1523,693,1,23
1524,693,1,80
1525,693,2,17
1526,694,1,25
1527,694,1,80
1528,694,2,23
1529,694,2,17
1530,695,1,58
1531,695,2,93
1532,696,1,80
1533,696,2,58
1534,696,2,93
1535,697,1,58
1536,697,1,25
1537,697,2,93
1538,698,1,80
1539,698,1,25
1540,698,2,93
1541,698,2,58
1542,699,1,31
1543,699,2,30
1544,700,1,57
1545,700,2,95
1546,701,2,96
1547,701,1,85
1548,702,1,96
1549,702,1,68
1550,703,2,96
1551,703,1,85
1552,703,1,68
1553,704,2,68
1554,704,1,1
1555,704,1,96
1556,705,2,68
1557,705,1,1
1558,705,2,96
1559,705,1,85
1560,706,2,96
1561,706,2,85
1562,706,1,17
1563,707,2,96
1564,707,2,85
1565,707,1,17
1566,707,1,68
1567,708,2,68
1568,708,1,1
1569,708,2,96
1570,708,2,85
1571,708,1,17
1572,709,1,10
1573,709,2,95
1574,710,1,1
1575,710,2,96
1576,711,1,40
1577,712,1,89
1578,713,2,96
1579,713,1,77
1580,714,1,23
1581,715,2,23
1582,715,1,68
1583,716,1,23
1584,716,1,84
1585,717,2,23
1586,717,1,68
1587,717,1,84
1588,718,1,60
1589,718,2,84
1590,720,2,34
1591,720,1,89
1592,721,1,33
1593,722,1,89
1594,722,1,33
1595,722,2,34
1596,723,1,34
1597,723,1,25
1598,723,2,33
1599,724,1,89
1600,724,1,25
1601,724,2,34
1602,724,2,33
1603,725,1,63
1604,725,2,44
1605,726,1,94
1606,726,2,64
1607,727,1,3
1608,727,1,91
1609,728,2,3
1610,728,1,4
1611,729,1,91
1612,730,2,91
1613,730,1,82
1614,731,1,91
1615,731,1,21
1616,732,2,91
1617,732,1,82
1618,732,1,21
1619,733,2,21
1620,733,1,80
1621,733,1,91
1622,734,2,21
1623,734,1,80
1624,734,2,91
1625,734,1,82
1626,735,1,57
1627,735,2,44
1628,736,1,91
1629,736,2,44
1630,737,1,83
1631,737,2,22
1632,738,1,68
1633,738,2,58
1634,739,1,91
1635,739,2,27
1636,721,1,34
1637,740,1,21
1638,740,2,38
1639,741,2,22
1640,741,1,20
1641,742,1,22
1642,742,1,91
1643,743,2,22
1644,743,1,20
1645,743,1,91
1646,744,2,91
1647,744,1,88
1648,744,1,22
1649,745,2,91
1650,745,1,88
1651,745,2,22
1652,745,1,20
1653,746,1,80
1654,746,2,27
1655,746,2,54
1656,747,1,27
1657,747,1,91
1658,748,1,27
1659,748,1,92
1660,748,2,91
1661,749,1,54
1662,749,1,91
1663,749,2,27
1664,750,1,54
1665,750,1,92
1666,750,2,27
1667,751,1,27
1668,751,1,91
1669,750,2,91
1670,752,1,80
1671,752,1,91
1672,752,2,27
1673,752,2,54
1674,753,1,80
1675,753,1,92
1676,753,2,27
1677,753,2,54
1678,753,2,91
1679,754,1,52
1680,754,2,62
1681,755,1,24
1682,755,2,48
1683,756,1,97
1684,757,2,97
1685,757,1,89
1686,758,1,97
1687,758,1,25
1688,759,2,97
1689,759,1,89
1690,759,1,25
1691,760,2,25
1692,760,1,51
1693,760,1,97
1694,761,2,25
1695,761,1,51
1696,761,2,97
1697,761,1,89
1698,762,2,97
1699,762,1,34
1700,763,1,51
1701,763,2,46
1704,765,4,63
1705,766,4,29
1706,767,1,19
1707,767,1,87
1708,768,1,19
1709,768,1,92
1710,769,2,19
1711,769,1,85
1712,770,1,19
1713,770,1,87
1714,771,1,19
1715,771,2,87
1716,771,1,46
1717,772,1,87
1718,772,2,19
1719,772,1,85
1720,773,2,87
1721,773,2,19
