id,name,ingame_icon_path,effect_description,condition_description,exec_limit,causality_conditions,special_view_id,costume_special_view_id,bgm_id
11,スタンバイに移行する,ingame/common/uniqueskill/ing_uniqueskill_icon_3.png,"4ターンの間、スタンバイし、
チームの味方が攻撃するたび
チャージカウントが1増加する","自身の登場から5ターン目以降発動可能
(1回のみ)",1,"{""source"": ""3205&2375"", ""compiled"": [""&"", 3205, 2375]}",12542,0,293
12,スタンバイに移行する,ingame/common/uniqueskill/ing_uniqueskill_icon_3.png,"4ターンの間、スタンバイし、
チームの味方が攻撃するたび
チャージカウントが1増加する","自身の登場から5ターン目以降発動可能
(1回のみ)",1,"{""source"": ""3205&2375"", ""compiled"": [""&"", 3205, 2375]}",12542,0,293
13,スタンバイに移行する,ingame/common/uniqueskill/ing_uniqueskill_icon_1.png,"5ターンの間、スタンバイし、
チームの味方の取得気玉1個につき
チャージカウントが1増加する","バトル開始から4ターン目以降発動可能
(1回のみ)",1,"{""source"": ""3205&5"", ""compiled"": [""&"", 3205, 5]}",11520,0,241
14,スタンバイに移行する,ingame/common/uniqueskill/ing_uniqueskill_icon_1.png,"5ターンの間、スタンバイし、
チームの味方の取得気玉1個につき
チャージカウントが1増加する","バトル開始から4ターン目以降発動可能
(1回のみ)",1,"{""source"": ""3205&5"", ""compiled"": [""&"", 3205, 5]}",11520,0,241
15,スタンバイに移行する,ingame/common/uniqueskill/ing_uniqueskill_icon_9.png,5ターンの間、スタンバイする,"バトル開始から3ターン目以降、
HPが70%以下で発動可能、
またはバトル開始から6ターン目以降
発動可能(1回のみ)",1,"{""source"": ""3208&((4&74)|388)"", ""compiled"": [""&"", 3208, [""|"", [""&"", 4, 74], 388]]}",13333,0,324
16,スタンバイに移行する,ingame/common/uniqueskill/ing_uniqueskill_icon_9.png,5ターンの間、スタンバイする,"バトル開始から3ターン目以降、
HPが70%以下で発動可能、
またはバトル開始から6ターン目以降
発動可能(1回のみ)",1,"{""source"": ""3208&((4&74)|388)"", ""compiled"": [""&"", 3208, [""|"", [""&"", 4, 74], 388]]}",13333,0,324
17,スタンバイに移行する,ingame/common/uniqueskill/ing_uniqueskill_icon_3.png,"4ターンの間、スタンバイし、
チームの味方が攻撃するたび
チャージカウントが1増加する","自身のHP70%以下で発動可能、
またはバトル中自身が3回以上攻撃をすると
発動可能(1回のみ)",1,"{""source"": ""3205&(74|1085)"", ""compiled"": [""&"", 3205, [""|"", 74, 1085]]}",13720,0,337
18,スタンバイに移行する,ingame/common/uniqueskill/ing_uniqueskill_icon_3.png,"4ターンの間、スタンバイし、
チームの味方が攻撃するたび
チャージカウントが1増加する","自身のHP70%以下で発動可能、
またはバトル中自身が3回以上攻撃をすると
発動可能(1回のみ)",1,"{""source"": ""3205&(74|1085)"", ""compiled"": [""&"", 3205, [""|"", 74, 1085]]}",13720,0,337
19,スタンバイに移行する,ingame/common/uniqueskill/ing_uniqueskill_icon_1.png,"5ターンの間、スタンバイし、
チームの味方の取得気玉1個につき
チャージカウントが1増加する","自身の登場から3ターン目以降発動可能
(1回のみ)",1,"{""source"": ""3205&296"", ""compiled"": [""&"", 3205, 296]}",14600,0,368
20,スタンバイに移行する,ingame/common/uniqueskill/ing_uniqueskill_icon_1.png,"5ターンの間、スタンバイし、
チームの味方の取得気玉1個につき
チャージカウントが1増加する","自身の登場から3ターン目以降発動可能
(1回のみ)",1,"{""source"": ""3205&296"", ""compiled"": [""&"", 3205, 296]}",14600,0,368
